species,height
Dodecatheon clevelandii,23
Dodecatheon clevelandii,23
Dodecatheon clevelandii,27
Dodecatheon clevelandii,20
Dodecatheon clevelandii,35
Dodecatheon clevelandii,24
Dodecatheon clevelandii,21
Dodecatheon clevelandii,8
Dodecatheon clevelandii,26
Dodecatheon clevelandii,21
Dodecatheon clevelandii,29
Dodecatheon clevelandii,29
Dodecatheon clevelandii,37
Dodecatheon clevelandii,29
Dodecatheon clevelandii,25
Dodecatheon clevelandii,21
Dodecatheon clevelandii,21
Dodecatheon clevelandii,16
Dodecatheon clevelandii,21
Dodecatheon clevelandii,21
Dodecatheon clevelandii,30
Dodecatheon clevelandii,24
Dodecatheon clevelandii,27
Dodecatheon clevelandii,35
Dodecatheon clevelandii,17
Dodecatheon clevelandii,19
Dodecatheon clevelandii,16
Dodecatheon clevelandii,29
Dodecatheon clevelandii,19
Dodecatheon clevelandii,30
Dodecatheon clevelandii,26
Dodecatheon clevelandii,24
Dodecatheon clevelandii,24
Dodecatheon clevelandii,20
Dodecatheon clevelandii,18
Dodecatheon clevelandii,25
Dodecatheon clevelandii,19
Dodecatheon clevelandii,18
Dodecatheon clevelandii,21
Dodecatheon clevelandii,28
Dodecatheon clevelandii,26
Dodecatheon clevelandii,22
Dodecatheon clevelandii,27
Dodecatheon clevelandii,26
Dodecatheon clevelandii,14
Dodecatheon clevelandii,20
Dodecatheon clevelandii,25
Dodecatheon clevelandii,26
Thysanocarpus curvipes,24
Thysanocarpus curvipes,28
Thysanocarpus curvipes,26
Thysanocarpus curvipes,34
Thysanocarpus curvipes,31
Thysanocarpus curvipes,24
Thysanocarpus curvipes,19
Thysanocarpus curvipes,30
Thysanocarpus curvipes,32
Thysanocarpus curvipes,15
Thysanocarpus curvipes,28
Thysanocarpus curvipes,25
Thysanocarpus curvipes,23
Thysanocarpus curvipes,20
Thysanocarpus curvipes,21
Thysanocarpus curvipes,14
Thysanocarpus curvipes,23
Thysanocarpus curvipes,21
Thysanocarpus curvipes,25
Thysanocarpus curvipes,21
Thysanocarpus curvipes,12
Thysanocarpus curvipes,14
Thysanocarpus curvipes,17
Thysanocarpus curvipes,27
Thysanocarpus curvipes,21
Thysanocarpus curvipes,14
Thysanocarpus curvipes,27
Thysanocarpus curvipes,22
Thysanocarpus curvipes,18
Thysanocarpus curvipes,17
Thysanocarpus curvipes,15
Thysanocarpus curvipes,30
Thysanocarpus curvipes,21
Thysanocarpus curvipes,27
Thysanocarpus curvipes,20
Thysanocarpus curvipes,20
Thysanocarpus curvipes,22
Thysanocarpus curvipes,34
Thysanocarpus curvipes,29
Thysanocarpus curvipes,31
Thysanocarpus curvipes,24
Thysanocarpus curvipes,22
Thysanocarpus curvipes,18
Thysanocarpus curvipes,31
Thysanocarpus curvipes,31
Thysanocarpus curvipes,25
Thysanocarpus curvipes,25
Thysanocarpus curvipes,25
Leptosyne bigelovii,29
Leptosyne bigelovii,20
Leptosyne bigelovii,25
Leptosyne bigelovii,33
Leptosyne bigelovii,40
Leptosyne bigelovii,47
Leptosyne bigelovii,31
Leptosyne bigelovii,38
Leptosyne bigelovii,26
Leptosyne bigelovii,24
Leptosyne bigelovii,24
Leptosyne bigelovii,37
Leptosyne bigelovii,48
Leptosyne bigelovii,35
Leptosyne bigelovii,30
Leptosyne bigelovii,26
Leptosyne bigelovii,35
Leptosyne bigelovii,33
Leptosyne bigelovii,15
Leptosyne bigelovii,18
Leptosyne bigelovii,15
Leptosyne bigelovii,20
Leptosyne bigelovii,15
Leptosyne bigelovii,11
Leptosyne bigelovii,25
Leptosyne bigelovii,22
Leptosyne bigelovii,22
Leptosyne bigelovii,26
Leptosyne bigelovii,24
Leptosyne bigelovii,23
Leptosyne bigelovii,28
Leptosyne bigelovii,31
Leptosyne bigelovii,23
Leptosyne bigelovii,20
Leptosyne bigelovii,26
Leptosyne bigelovii,29
Gilia ochroleuca,8
Gilia ochroleuca,7
Gilia ochroleuca,9
Gilia ochroleuca,8
Gilia ochroleuca,11
Gilia ochroleuca,10
Gilia ochroleuca,6
Gilia ochroleuca,4
