sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,n_leaves,date_collected,notes,,,,
1,748,chgl,1,1,3.3,0.9,0.04643,,0.00845,,1,22-Mar-17,,,,,
2,748,chgl,1,2,3.5,0.9,0.04678,,0.00848,,1,22-Mar-17,,,,,
3,748,chgl,1,3,3.5,0.9,0.04738,,0.00762,,1,22-Mar-17,,,,,
4,748,chgl,2,1,3.5,1.1,0.06766,,0.01233,,1,22-Mar-17,,,,,
5,748,chgl,2,2,3.5,0.9,0.06217,,0.01015,,1,22-Mar-17,,,,,
6,748,chgl,2,3,2.8,0.7,0.03116,,0.00641,,1,22-Mar-17,,,,,
7,748,chgl,3,1,4.4,1.3,0.07853,,0.01524,,1,22-Mar-17,,,,,
8,748,chgl,3,2,4.9,1.2,0.08692,,0.01609,,1,22-Mar-17,,,,,
9,748,chgl,3,3,4.5,1.3,0.08046,,0.01652,,1,22-Mar-17,,,,,
10,748,chgl,4,1,4.5,1.4,0.08138,,0.01196,,1,22-Mar-17,,,,,
11,748,chgl,4,2,2.6,0.5,0.02538,,0.00412,,1,22-Mar-17,,,,,
12,748,chgl,4,3,2.1,0.5,0.01892,,0.00273,,1,22-Mar-17,,,,,
13,748,chgl,5,1,3.6,1.1,0.0617,,0.00892,,1,22-Mar-17,,,,,
14,748,chgl,5,2,3.4,0.9,0.05168,,0.00712,,1,22-Mar-17,,,,,
15,748,chgl,5,3,3,0.8,0.05229,,0.00937,,1,22-Mar-17,,,,,
16,748,chgl,6,1,3.5,0.7,0.05466,,0.00866,,1,22-Mar-17,,,,,
17,748,chgl,6,2,3.1,0.6,0.03914,,0.00686,,1,22-Mar-17,multiple scans, leaf was bending in scanner. Use whichever scan looks better,,,
18,748,chgl,6,3,2.4,0.4,0.02511,,0.00481,,1,22-Mar-17,,,,,
19,748,chgl,7,1,3.9,1.1,0.08021,,0.01273,,1,22-Mar-17,,,,,
20,748,chgl,7,2,3.1,0.9,0.06526,,0.01111,,1,22-Mar-17,,,,,
21,748,chgl,7,3,3.1,0.9,0.05745,,0.00916,,1,22-Mar-17,,,,,
22,748,chgl,8,1,2.9,0.7,0.03495,,0.00678,,1,22-Mar-17,,,,,
23,748,chgl,8,2,2.2,0.5,0.02484,,0.00538,,1,22-Mar-17,,,,,
24,748,chgl,8,3,3.2,0.7,0.04285,,0.00721,,1,22-Mar-17,,,,,
25,non_plot,lebo,1,1,6,2.6,0.09284,,0.01151,,1,22-Mar-17,with petiole,,,,
26,non_plot,lebo,1,2,6.2,3.2,0.11487,,0.01394,,1,22-Mar-17,with petiole,,,,
27,non_plot,lebo,1,3,3.5,2,0.03817,,0.00552,,1,22-Mar-17,with petiole,,,,
28,non_plot,lebo,2,1,5.3,2.1,0.06117,,0.00847,,1,22-Mar-17,with petiole,,,,
29,non_plot,lebo,2,2,5,2.6,0.05843,,0.00822,,1,22-Mar-17,with petiole,,,,
30,non_plot,lebo,2,3,3.6,1.9,0.03672,,0.00553,,1,22-Mar-17,with petiole,,,,
31,non_plot,lebo,3,1,6,2.6,0.07726,,0.00812,,1,22-Mar-17,with petiole,,,,
32,non_plot,lebo,3,2,5.5,2.5,0.07029,,0.00751,,1,22-Mar-17,with petiole,,,,
33,non_plot,lebo,3,3,4.8,2.6,0.05135,,0.00593,,1,22-Mar-17,with petiole,,,,
34,non_plot,lebo,4,1,6.2,4.6,0.0817,,0.00939,,1,22-Mar-17,with petiole,,,,
35,non_plot,lebo,4,2,4.6,3.4,0.0474,,0.00589,,1,22-Mar-17,with petiole,,,,
36,non_plot,lebo,4,3,4.8,1.9,0.04105,,0.00514,,1,22-Mar-17,with petiole,,,,
37,non_plot,lebo,5,1,6,2.9,0.07636,,0.01234,,1,22-Mar-17,with petiole,,,,
38,non_plot,lebo,5,2,6.3,4,0.09576,,0.01408,,1,22-Mar-17,with petiole,,,,
39,non_plot,lebo,5,3,3.9,2,0.04112,,0.00671,,1,22-Mar-17,with petiole,,,,
40,non_plot,lebo,6,1,5.8,2.7,0.08331,,0.01131,,1,22-Mar-17,"with petiole, all leaves split across 2 scans",,,,
41,non_plot,lebo,6,2,4.9,2.5,0.0462,,0.00564,,1,22-Mar-17,"with petiole, all leaves split across 2 scans",,,,
42,non_plot,lebo,6,3,4.8,2,0.04351,,0.00623,,1,22-Mar-17,"with petiole, all leaves split across 2 scans",,,,
43,non_plot,lebo,7,1,6.2,2.4,0.09714,,0.01262,,1,22-Mar-17,with petiole,,,,
44,non_plot,lebo,7,2,5.2,2.2,0.05941,,0.00821,,1,22-Mar-17,with petiole,,,,
45,non_plot,lebo,7,3,4.6,2.3,0.04349,,0.00636,,1,22-Mar-17,with petiole,,,,
46,non_plot,lebo,8,1,5.5,3.3,0.10731,,0.0149,,1,22-Mar-17,with petiole,,,,
47,non_plot,lebo,8,2,6,3.2,0.16141,,0.02112,,1,22-Mar-17,with petiole,,,,
48,non_plot,lebo,8,3,3.8,2.2,0.05508,,0.00808,,1,22-Mar-17,with petiole,,,,
49,non_plot,gilia,1,1,2.8,1,0.03777,,0.00541,,1,22-Mar-17,with petiole,,,,
50,non_plot,gilia,1,2,2.9,0.9,0.03881,,0.00558,,1,22-Mar-17,with petiole,,,,
51,non_plot,gilia,1,3,2.7,0.9,0.03724,,0.00559,,1,22-Mar-17,with petiole,,,,
52,non_plot,gilia,2,1,3.6,2.7,0.08769,,0.01225,,1,22-Mar-17,with petiole,,,,
53,non_plot,gilia,2,2,4,1.5,0.07328,,0.00943,,1,22-Mar-17,with petiole,,,,
54,non_plot,gilia,2,3,4,1.7,0.09312,,0.01298,,1,22-Mar-17,with petiole,,,,
55,non_plot,gilia,3,1,4.6,1.3,0.06586,,0.00841,,1,22-Mar-17,with petiole,,,,
56,non_plot,gilia,3,2,5.1,1.2,0.09017,,0.01202,,1,22-Mar-17,with petiole,,,,
57,non_plot,gilia,3,3,3.4,1.9,0.05643,,0.00878,,1,22-Mar-17,with petiole,,,,
58,non_plot,gilia,4,1,5.1,1.6,0.09724,,0.0124,,1,22-Mar-17,with petiole,,,,
59,non_plot,gilia,4,2,4.7,1.5,0.08617,,0.01187,,1,22-Mar-17,with petiole,,,,
60,non_plot,gilia,4,3,4.5,1.4,0.07821,,0.00969,,1,22-Mar-17,with petiole,,,,
61,non_plot,gilia,5,1,4.7,1.5,0.07318,,0.00986,,1,22-Mar-17,with petiole,,,,
62,non_plot,gilia,5,2,4.6,2,0.08162,,0.01146,,1,22-Mar-17,with petiole,,,,
63,non_plot,gilia,5,3,4.2,2.2,0.08055,,0.01154,,1,22-Mar-17,with petiole,,,,
64,non_plot,gilia,6,1,6.1,1.7,0.08934,,0.01183,,1,22-Mar-17,with petiole,,,,
65,non_plot,gilia,6,2,5.8,1.3,0.07435,,0.01053,,1,22-Mar-17,with petiole,,,,
66,non_plot,gilia,6,3,6.1,1.7,0.08741,,0.01165,,1,22-Mar-17,with petiole,,,,
67,non_plot,gilia,7,1,4.2,1.8,0.12189,,0.01461,,1,22-Mar-17,with petiole,,,,
68,non_plot,gilia,7,2,3.5,1.5,0.0948,,0.01359,,1,22-Mar-17,with petiole,,,,
69,non_plot,gilia,7,3,4.2,1.5,0.10846,,0.01433,,1,22-Mar-17,with petiole,,,,
70,non_plot,gilia,8,1,4.5,1.4,0.07636,,,,1,22-Mar-17,with petiole,,,,
71,non_plot,gilia,8,2,4.2,1.1,0.04819,,,,1,22-Mar-17,with petiole,,,,
72,non_plot,gilia,8,3,4.3,1.1,0.05164,,,,1,22-Mar-17,with petiole,,,,
73,749,brma,1,1,5.1,0.4,0.02785,,0.00768,,1,23-Mar-17,,,,,
74,749,brma,1,2,5,0.4,0.02264,,0.00598,,1,23-Mar-17,,,,,
75,749,brma,1,3,4.1,0.3,0.01028,,0.00277,,1,23-Mar-17,,,,,
76,749,brma,2,1,7,0.3,0.03605,,0.00894,,1,23-Mar-17,separated from 2 plants,,,,
77,749,brma,2,2,6.3,0.3,0.02806,,0.00683,,1,23-Mar-17,,,,,
78,749,brma,2,3,6.2,0.5,0.03738,,0.00859,,1,23-Mar-17,,,,,
79,749,brma,3,1,5.2,0.5,0.03419,,0.0096,,1,23-Mar-17,,,,,
80,749,brma,3,2,5.3,0.4,0.02922,,0.00792,,1,23-Mar-17,,,,,
81,749,brma,3,3,4.4,0.3,0.01439,,0.00403,,1,23-Mar-17,,,,,
82,749,brma,4,1,3.5,0.4,0.01675,,0.00457,,1,23-Mar-17,separated from 2 plants,,,,
83,749,brma,4,2,3.8,0.3,0.01011,,0.0028,,1,23-Mar-17,,,,,
84,749,brma,4,3,3.1,0.3,0.01202,,0.00355,,1,23-Mar-17,,,,,
85,749,brma,5,1,3,0.4,0.01367,,0.00357,,1,23-Mar-17,,,,,
86,749,brma,5,2,2.9,0.5,0.01653,,0.00456,,1,23-Mar-17,,,,,
87,749,brma,5,3,2.8,0.3,0.01081,,0.00295,,1,23-Mar-17,,,,,
88,749,amme,1,1,4.7,0.5,0.07961,,0.01171,,1,23-Mar-17,,,,,
89,749,amme,1,2,4.1,0.4,0.06368,,0.00908,,1,23-Mar-17,,,,,
90,749,amme,1,3,3.5,0.4,0.04395,,0.00694,,1,23-Mar-17,,,,,
91,749,amme,2,1,5.1,0.5,0.06806,,0.00926,,1,23-Mar-17,,,,,
92,749,amme,2,2,3.8,0.3,0.04307,,0.00677,,1,23-Mar-17,,,,,
93,749,amme,2,3,2.1,0.3,0.01784,,0.0032,,1,23-Mar-17,,,,,
94,749,amme,3,1,6.5,0.5,0.11479,,0.01386,,1,23-Mar-17,,,,,
95,749,amme,3,2,5.5,0.6,0.10713,,0.01383,,1,23-Mar-17,,,,,
96,749,amme,3,3,5,0.6,0.10695,,0.01338,,1,23-Mar-17,,,,,
97,749,amme,4,1,3.9,0.5,0.06464,,0.0098,,1,23-Mar-17,,,,,
98,749,amme,4,2,2.9,0.4,0.0374,,0.0058,,1,23-Mar-17,,,,,
99,749,amme,4,3,2.5,0.5,0.03197,,0.00516,,1,23-Mar-17,,,,,
100,749,amme,5,1,3.4,0.3,0.03387,,0.00493,,1,23-Mar-17,,,,,
101,749,amme,5,2,2.9,0.3,0.02659,,0.00406,,1,23-Mar-17,,,,,
102,749,amme,5,3,2.3,0.3,0.01654,,0.00288,,1,23-Mar-17,,,,,
103,749,saco,1,1,6.5,2.4,0.18481,,0.02837,,1,23-Mar-17,,,,,
104,749,saco,1,2,6.9,2.4,0.18329,,0.03018,,1,23-Mar-17,,,,,
105,749,saco,1,3,4.8,2.1,0.12029,,0.01991,,1,23-Mar-17,,,,,
106,749,saco,2,1,9.8,4.1,0.63539,,0.09049,,1,23-Mar-17,whacky scale!,,,,
107,749,saco,2,2,8.3,4.8,0.55074,,0.09105,,1,23-Mar-17,,,,,
108,749,saco,2,3,6.5,2.8,0.23799,,0.03541,,1,23-Mar-17,,,,,
109,749,saco,3,1,10.5,4.2,0.65437,,0.09441,,1,23-Mar-17,,,,,
110,749,saco,3,2,9,5,0.70727,,0.09751,,1,23-Mar-17,,,,,
111,749,saco,3,3,8,4,0.64483,,0.09334,,1,23-Mar-17,,,,,
112,749,saco,4,1,8.2,4.8,0.46178,,0.06361,,1,23-Mar-17,,,,,
113,749,saco,4,2,9.4,3.5,0.33016,,0.04411,,1,23-Mar-17,,,,,
114,749,saco,4,3,6.3,2.8,0.31266,,0.04271,,1,23-Mar-17,,,,,
115,749,saco,5,1,9.5,4.5,0.76612,,0.08416,,1,23-Mar-17,,,,,
116,749,saco,5,2,6,2.8,0.3738,,0.04152,,1,23-Mar-17,,,,,
117,749,saco,5,3,6.1,2.9,0.34354,,0.04192,,1,23-Mar-17,,,,,
118,749,laca,1,1,3.2,0.3,0.02059,,0.00251,,1,23-Mar-17,,,,,
119,749,laca,1,2,2.6,0.4,0.01862,,0.00243,,1,23-Mar-17,,,,,
120,749,laca,1,3,2.7,0.2,0.01261,,0.00134,,1,23-Mar-17,,,,,
121,749,laca,2,1,3.1,0.3,0.01873,,0.0021,,1,23-Mar-17,,,,,
122,749,laca,2,2,5.1,0.4,0.03624,,0.0043,,1,23-Mar-17,,,,,
123,749,laca,2,3,4.3,0.3,0.02998,,0.00373,,1,23-Mar-17,,,,,
124,749,laca,3,1,2.6,0.3,0.01842,,0.00246,,1,23-Mar-17,,,,,
125,749,laca,3,2,2.4,0.3,0.0177,,0.00232,,1,23-Mar-17,,,,,
126,749,laca,3,3,2.2,0.3,0.01386,,0.00199,,1,23-Mar-17,,,,,
127,749,laca,4,1,5.2,0.4,0.04878,,0.00631,,1,23-Mar-17,,,,,
128,749,laca,4,2,4.3,0.3,0.03675,,0.00504,,1,23-Mar-17,,,,,
129,749,laca,4,3,2.6,0.2,0.01391,,0.00209,,1,23-Mar-17,,,,,
130,749,laca,5,1,2.6,0.3,0.01342,,0.00166,,1,23-Mar-17,,,,,
131,749,laca,5,2,2,0.3,0.00799,,0.00082,,1,23-Mar-17,,,,,
132,749,laca,5,3,1.4,0.2,0.00386,,0.00056,,1,23-Mar-17,,,,,
133,744,laca,1,1,3.7,0.4,0.02949,,0.00461,,1,23-Mar-17,,,,,
134,744,laca,1,2,3.4,0.3,0.02462,,0.00366,,1,23-Mar-17,,,,,
135,744,laca,1,3,2.8,0.4,0.02142,,0.00359,,1,23-Mar-17,,,,,
136,744,laca,2,1,3.4,0.3,0.02177,,0.00294,,1,23-Mar-17,,,,,
137,744,laca,2,2,3.2,0.3,0.01976,,0.00292,,1,23-Mar-17,,,,,
138,744,laca,2,3,2.7,0.3,0.01677,,0.00269,,1,23-Mar-17,,,,,
139,744,laca,3,1,4.6,0.4,0.03316,,0.00517,,1,23-Mar-17,,,,,
140,744,laca,3,2,4.3,0.3,0.02604,,0.00355,,1,23-Mar-17,,,,,
141,744,laca,3,3,3.5,0.3,0.02308,,0.00415,,1,23-Mar-17,,,,,
142,744,laca,4,1,2.5,0.3,0.01699,,0.00253,,1,23-Mar-17,,,,,
143,744,laca,4,2,2.7,0.3,0.01932,,0.00271,,1,23-Mar-17,,,,,
144,744,laca,4,3,1.9,0.3,0.00959,,0.00148,,1,23-Mar-17,,,,,
145,744,laca,5,1,3.9,0.3,0.02508,,0.00305,,1,23-Mar-17,,,,,
146,744,laca,5,2,3,0.3,0.02047,,0.00262,,1,23-Mar-17,,,,,
147,744,laca,5,3,3.3,0.3,0.02248,,0.00288,,1,23-Mar-17,,,,,
148,743,laca,1,1,4.5,0.3,0.03072,,0.00411,,1,23-Mar-17,,,,,
149,743,laca,1,2,4.7,0.3,0.02955,,0.00357,,1,23-Mar-17,,,,,
150,743,laca,1,3,3.1,0.3,0.0267,,0.00404,,1,23-Mar-17,,,,,
151,743,laca,2,1,3.7,0.2,0.01763,,0.00231,,1,23-Mar-17,,,,,
152,743,laca,2,2,3.5,0.3,0.02035,,0.00292,,1,23-Mar-17,,,,,
153,743,laca,2,3,1.5,0.2,0.00529,,0.00103,,1,23-Mar-17,,,,,
154,743,laca,3,1,3,0.3,0.01699,,0.0026,,1,23-Mar-17,,,,,
155,743,laca,3,2,3.2,0.3,0.01618,,0.00213,,1,23-Mar-17,,,,,
156,743,laca,3,3,2.9,0.3,0.01493,,0.0024,,1,23-Mar-17,,,,,
157,743,laca,4,1,2.8,0.2,0.01141,,0.00141,,1,23-Mar-17,,,,,
158,743,laca,4,2,2.9,0.2,0.01394,,0.00208,,1,23-Mar-17,,,,,
159,743,laca,4,3,2.1,0.2,0.00934,,0.00168,,1,23-Mar-17,,,,,
160,743,laca,5,1,2.1,0.2,0.00866,,0.00136,,1,23-Mar-17,,,,,
161,743,laca,5,2,2.2,0.2,0.00909,,0.00125,,1,23-Mar-17,,,,,
162,743,laca,5,3,2.3,0.2,0.00914,,0.0014,,1,23-Mar-17,,,,,
163,751,laca,1,1,5,0.3,0.03482,,0.00492,,1,24-Mar-17,,,,,
164,751,laca,1,2,4.6,0.3,0.02891,,0.00353,,1,24-Mar-17,,,,,
165,751,laca,1,3,3.8,0.3,0.02629,,0.00407,,1,24-Mar-17,,,,,
166,751,laca,2,1,4.2,0.2,0.0223,,0.00272,,1,24-Mar-17,,,,,
167,751,laca,2,2,2.2,0.3,0.01228,,0.0021,,1,24-Mar-17,,,,,
168,751,laca,2,3,2,0.2,0.00928,,0.00168,,1,24-Mar-17,,,,,
169,751,laca,3,1,3.2,0.2,0.01565,,0.00255,,1,24-Mar-17,,,,,
170,751,laca,3,2,3.4,0.3,0.0184,,0.00297,,1,24-Mar-17,,,,,
171,751,laca,3,3,2.7,0.3,0.0142,,0.00253,,1,24-Mar-17,,,,,
172,751,laca,4,1,2.7,0.3,0.01125,,0.0018,,1,24-Mar-17,,,,,
173,751,laca,4,2,2.4,0.2,0.00808,,0.00139,,1,24-Mar-17,,,,,
174,751,laca,4,3,1.9,0.2,0.00629,,0.00116,,1,24-Mar-17,,,,,
175,751,laca,5,1,3.7,0.2,0.02191,,0.00303,,1,24-Mar-17,,,,,
