 Trait Needs Fall 2019,,,,,,,,,
species,USDA_symbol,GROW,leaf_traits,C_to_N,height,canopy,cleaned_seeds,seed_mass,seed_size
Bromus madritensis,BRMA3,NO,done,,done,done,done,done,
Uropappus lindleyii,URLI5,MAYBE,done,,done,done,done,done,
Agoseris heteroflora,AGHE2,MAYBE,done,,done,done,,,
Acharachaena mollis,ACMO2,MAYBE,done,,done,done,,,
Microseris douglasii,MIDO,yes,done,,done,done,,,
Microseris elegans,MIEL,yes,done,,done,,,,
Stellaria media,STME2,yes,done,,done,,,,
Minuartia douglassi,MIDO3,yes,done,,done,,,,
Crassula connata,CRCO34,yes,done,,,,,,
Riggiopappus leptocladus,RILE2,yes,,,done,,,,
Astragalus gambelianus,ASGA,yes,,,done,,,,
Geranium dissectum,GEDI,NO,done,,done,done,,,
Leptosyne bigelovii,LEBI4,NO,done,,done,,,,
Gilia achillefolia @ oak road,GIACM2.2,yes,,,done,,,,
Gilia achillefolia @ bedrock,GIACM2,yes,done,,done,,,,
Logfia filaginoides,LOCA19,yes,,,done,,,,
Gilia ochraleuca,GIOC,NO,done,,done,,,,
Leptosiphon parviflora,LEPA51,MAYBE,,,done,done,,,
Logfia gallica ,LOGA2,yes,done,,done,,,,
Ancistrocarphus filagineus,ANFI3,yes,,,done,,,,
Chorizanthe obovata,CHOB4,yes,done,,done,done,,,
Claytonia perfoliata,CLPE,yes,,,done,,,,
Trichostema lanceolatum,TRLA4,NA,done,,done,done,,,
Eriogonum gracile,ERGR5,NA,done,,done,done,,,
