sequence,plot,species,plant_number,type,tissue_type,aboveground_biomass_g,date_collected,notes
,751,VUMI,1,AGB,all,0.134,,
,751,VUMI,2,AGB,,0.0996,,
,751,VUMI,3,AGB,,0.0328,,
,751,VUMI,4,AGB,,0.0838,,
,751,VUMI,5,AGB,,0.0974,,
,751,SACO,1,AGB,,0.1375,,
,751,SACO,2,AGB,,0.1013,,
,751,SACO,3,AGB,,0.1799,,
,751,SACO,4,AGB,,0.0447,,
,751,SACO,5,AGB,,0.047,,
,751,AGHE,1,AGB,,0.297,,
,751,AGHE,2,AGB,,0.0778,,
,751,AGHE,3,AGB,,0.0692,,
,751,AGHE,4,AGB,,0.0826,,
,751,AGHE,5,AGB,,0.3031,,
,751,HOMU,1,AGB,,0.1259,,
,751,HOMU,2,AGB,,0.0637,,
,751,HOMU,3,AGB,,0.2173,,
,751,HOMU,4,AGB,,0.5068,,
,751,HOMU,5,AGB,,0.1394,,
,751,PLER,1,AGB,,0.1752,,
,751,PLER,2,AGB,,0.1637,,
,751,PLER,3,AGB,,0.1155,,
,751,PLER,4,AGB,,0.2115,,
,751,PLER,5,AGB,,0.3189,,
,751,LOWR,1,AGB,,0.6887,,
,751,LOWR,2,AGB,,0.2874,,
,751,LOWR,3,AGB,,0.0704,,
,751,LOWR,4,AGB,,0.298,,
,751,LOWR,5,AGB,,0.1124,,
,751,CHGL,1,AGB,,0.5631,,
,751,CHGL,2,AGB,,0.4057,,
,751,CHGL,3,AGB,,0.5768,,
,751,CHGL,4,AGB,,0.1031,,
,751,CHGL,5,AGB,,0.1861,,
,751,LACA,1,AGB,,0.1745,,
,751,LACA,2,AGB,,0.1184,,
,751,LACA,3,AGB,,0.0837,,
,751,LACA,4,AGB,,0.0518,,
,751,LACA,5,AGB,,0.1052,,
,752,AGHE,1,AGB,,0.5357,,
,752,AGHE,2,AGB,,0.0747,,
,752,HDMU,1,AGB,,0.2611,,
,752,HDMU,2,AGB,,0.1004,,
,752,VUMI,1,AGB,,0.2526,,
,752,VUMI,2,AGB,,0.1172,,
,752,VUMI,3,AGB,,0.0698,,
,752,AMME,1,AGB,,0.2247,,
,749,LACA,1,AGB,,0.0757,,
,749,LACA,2,AGB,,0.1255,,
,749,LACA,3,AGB,,0.1982,,
,749,LACA,4,AGB,,0.2309,,
,749,LACA,5,AGB,,0.0441,,
,749,SACO,1,AGB,,0.1926,,
,749,SACO,2.1,AGB,,0.3315,,
,749,SACO,2.2,AGB,,0.6382,,
,749,SACO,3,AGB,,0.3698,,
,749,SACO,4.1,AGB,,0.3621,,
,749,SACO,5.1,AGB,,0.2109,,
,749,SACO,5.2,AGB,,0.3312,,
,749,SACO,5.3,AGB,,0.2132,,
,749,AMME,1,AGB,,0.5192,,
,749,AMME,2,AGB,,0.1858,,
,749,AMME,3,AGB,,0.4682,,
,749,AMME,4,AGB,,0.2409,,
,749,AMME,5,AGB,,0.0876,,
,755,VUMI,1,AGB,,0.1945,,
,755,VUMI,2,AGB,,0.2739,,
,755,VUMI,3,AGB,,0.2213,,
,755,VUMI,4,AGB,,0.0971,,
,755,VUMI,5,AGB,,0.3039,,
,744,LACA,1,AGB,,0.1845,,
,744,LACA,2,AGB,,0.2208,,
,744,LACA,3,AGB,,0.2313,,
,744,LACA,4,AGB,,0.1742,,
,744,LACA,5,AGB,,0.1841,,
,743,LACA,1,AGB,,0.1559,,
,743,LACA,2,AGB,,0.0637,,
,743,LACA,3,AGB,,0.0795,,
,743,LACA,4,AGB,,0.0315,,
,743,LACA,5,AGB,,0.0329,,
,758,CEME,1,AGB,,0.2324,,
,758,CEME,2,AGB,,0.238,,
,758,CEME,3,AGB,,0.4531,,
,758,CEME,4,AGB,,0.5247,,
,758,CEME,5,AGB,,0.2526,,
,762,LOPU,2,AGB,,0.4401,,
,762,LOPU,3,AGB,,0.9559,,
,762,LOPU,4,AGB,,0.6438,,
,762,LOPU,5,AGB,,1.0035,,
,758,HECO,1,AGB,,0.362,,
,758,HECO,2,AGB,,0.1913,,
,758,HECO,3,AGB,,0.3141,,
,758,HECO,4,AGB,,0.1452,,
,755,CHGL,1,AGB,,0.6601,,
,755,CHGL,2,AGB,,0.2097,,
,755,CHGL,3,AGB,,0.3169,,
,755,CHGL,4,AGB,,0.0854,,
,755,CHGL,5,AGB,,0.2049,,
,758,NAAT,1,AGB,,0.471,,
,758,NAAT,2,AGB,,0.3959,,
,758,NAAT,3,AGB,,0.5283,,
,758,NAAT,5,AGB,,0.1058,,
,763,EUPE,1,AGB,,0.0168,,
,763,EUPE,2,AGB,,0.0969,,
,763,EUPE,3,AGB,,0.0457,,
,757,CEME,1,AGB,,1.5595,,
,757,CEME,2,AGB,,0.4584,,
,757,CEME,3,AGB,,0.8431,,
,757,CEME,4,AGB,,1.1992,,
,757,CEME,5,AGB,,0.2984,,
,757,CEME,6,AGB,,0.2073,,
,754,VUMA,1,AGB,,0.6918,,
,754,VUMA,2,AGB,,0.4188,,
,754,VUMA,3,AGB,,0.1686,,
,754,VUMA,4,AGB,,0.3412,,
,754,VUMA,5,AGB,,0.4154,,
,755,HOMU,1,AGB,,0.2711,,
,755,HOMU,2,AGB,,0.1373,,
,755,HOMU,3,AGB,,0.1982,,
,755,HOMU,4,AGB,,0.1884,,
,755,HOMU,5,AGB,,0.3091,,
,761,CEME,1,AGB,,0.2878,,
,761,CEME,2,AGB,,1.0499,,
,761,CEME,3,AGB,,0.6909,,
,761,CEME,4,AGB,,0.6079,,
,761,CEME,5,AGB,,0.6423,,
,750,HOMU,1,AGB,,0.1467,,
,750,HOMU,2,AGB,,0.0526,,
,756,HECO,1,AGB,,0.0789,,
,756,HECO,2,AGB,,0.2683,,
,756,HECO,3,AGB,,0.1006,,
,760,CLPU,1,AGB,,1.1345,,
,760,CLPU,2,AGB,,0.4651,,
,760,CLPU,3,AGB,,0.8828,,
,760,CLPU,4,AGB,,0.6289,,
,758,CLBD,5,AGB,,0.292,,
,760,CEME,4,AGB,,0.4127,,
,758,EUPE,1,AGB,,0.0366,,
,750,LOWR,1,AGB,,0.1489,,
,750,LOWR,2,AGB,,0.2732,,
,748,LOWR,1,AGB,,0.0877,,
,748,LOWR,2,AGB,,0.133,,
,748,LOWR,3,AGB,,0.0609,,
,748,LOWR,4,AGB,,0.3825,,
,748,LOWR,5,AGB,,0.0097,,
,763,LOWR,1,AGB,,0.145,,
,760,CLPU,5,AGB,,0.2611,,
,754,AGHE,1,AGB,,0.3623,,
,754,AGHE,2,AGB,,0.0742,,
,762,CLPU,1,AGB,,2.6851,,
,762,CLPU,2,AGB,,0.9864,,
,762,CLPU,3,AGB,,2.3544,,
,762,CLPU,4,AGB,,0.9664,,
,762,CLPU,5,AGB,,2.8645,,
,757,HOMU,1,AGB,,1.2752,,
,757,HOMU,2,AGB,,1.6364,,
,757,HOMU,3,AGB,,0.5405,,
,757,HOMU,4.1,AGB,,0.3883,,
,757,HOMU,4.2,AGB,,2.9163,,
,757,HOMU,5,AGB,,1.3024,,
