Slice,Count,Total Area,Average Size,%Area,Mean
STME_p1_l1.jpeg,1,1.419,1.419,0.258,255
STME_p1_l2.jpeg,1,1.432,1.432,0.260,255
STME_p1_l3.jpeg,1,1.449,1.449,0.263,255
STME_p1_lvs.jpeg,32,17.695,0.553,3.211,255
STME_p2_l1.jpeg,1,1.780,1.780,0.323,255
STME_p2_l2.jpeg,1,2.153,2.153,0.391,255
STME_p2_l3.jpeg,1,1.003,1.003,0.182,255
STME_p2_lvs.jpeg,45,31.439,0.699,5.705,255
STME_p3_l1.jpeg,1,1.578,1.578,0.286,255
STME_p3_l2.jpeg,1,1.442,1.442,0.262,255
STME_p3_l3.jpeg,1,1.514,1.514,0.275,255
STME_p3_lvs.jpeg,47,22.413,0.477,4.067,255
STME_p4_l1.jpeg,1,1.416,1.416,0.257,255
STME_p4_l2.jpeg,1,1.325,1.325,0.240,255
STME_p4_l3.jpeg,1,1.307,1.307,0.237,255
STME_p4_lvs.jpeg,43,17.990,0.418,3.264,255
STME_p5_l1.jpeg,1,2.415,2.415,0.438,255
STME_p5_l2.jpeg,1,2.050,2.050,0.372,255
STME_p5_l3.jpeg,1,1.533,1.533,0.278,255
STME_p5_lvs.jpeg,44,29.736,0.676,5.396,255
STME_p6_l1.jpeg,1,1.615,1.615,0.293,255
STME_p6_l2.jpeg,1,0.969,0.969,0.176,255
STME_p6_l3.jpeg,1,1.318,1.318,0.239,255
STME_p6_lvs.jpeg,41,22.777,0.556,4.133,255
STME_p7_l1.jpeg,1,1.129,1.129,0.205,255
STME_p7_l2.jpeg,1,0.800,0.800,0.145,255
STME_p7_l3.jpeg,1,1.009,1.009,0.183,255
STME_p7_lvs.jpeg,34,12.622,0.371,2.290,255
STME_p8_l1.jpeg,1,1.197,1.197,0.217,255
STME_p8_l2.jpeg,1,1.831,1.831,0.332,255
STME_p8_l3.jpeg,1,1.555,1.555,0.282,255
STME_p8_lvs.jpeg,50,24.389,0.488,4.425,255
