"Slice","Count","Total Area","Average Size","%Area","Mean"
"DOHE_P1_L1",2,5.911,2.956,0.981,250.403
"DOHE_P1_L2",1,6.182,6.182,1.026,254.172
"DOHE_P1_L3",1,5.321,5.321,0.883,253.126
"DOHE_P1_ALL",2,9.681,4.841,1.606,252.509
"DOHE_P2_L1",1,4.694,4.694,0.779,251.923
"DOHE_P2_L2",1,4.44,4.44,0.737,253.081
"DOHE_P2_L3",2,3.457,1.729,0.574,251.518
"DOHE_P3_L1",2,10.408,5.204,1.727,251.005
"DOHE_P3_L2",1,8.762,8.762,1.454,254.205
"DOHE_P3_L3",1,5.264,5.264,0.873,253.08
"DOHE_P3_ALL",4,23.525,5.881,3.904,253.291
"DOHE_P4_L1",1,4.646,4.646,0.771,253.667
"DOHE_P4_L2",2,3.65,1.825,0.606,252.985
"DOHE_P4_L3",1,2.557,2.557,0.424,253.933
"DOHE_P4_ALL",1,5.118,5.118,0.849,246.394
"DOHE_P5_L1",1,6.712,6.712,1.114,254.108
"DOHE_P5_L2",2,7.177,3.589,1.191,247.262
"DOHE_P5_L3",1,7.652,7.652,1.27,254.206
"DOHE_P6_L1",2,3.022,1.511,0.501,251.499
"DOHE_P6_L2",1,2.591,2.591,0.43,254.231
"DOHE_P6_L3",1,2.123,2.123,0.352,254.376
"DOHE_P6_ALL",2,3.71,1.855,0.616,250.752
"DOHE_P7_L1",2,8.144,4.072,1.351,250.175
"DOHE_P7_L2",2,6.869,3.435,1.14,253.378
"DOHE_P7_ALL",5,5.912,1.182,0.981,251.453
"DOHE_P8_L1",1,5.692,5.692,0.944,254.412
"DOHE_P8_L2",1,5.531,5.531,0.918,254.788
"DOHE_P8_L3",1,5.075,5.075,0.842,253.082
"DOHE_P8_ALL",6,23.906,3.984,3.967,250.197
