"Slice","Count","Total Area","Average Size","%Area","Mean"
"THCU_P2_L1",1,1.195,1.195,0.198,251.022
"THCU_P2_L2",1,1.35,1.35,0.224,254.99
"THCU_P2_L3",1,0.799,0.799,0.133,254.914
"THCU_P2_ALL",6,2.876,0.479,0.477,254.027
"THCU_P3_L1",1,0.641,0.641,0.106,247.967
"THCU_P3_L2",1,0.597,0.597,0.099,231.96
"THCU_P3_L3",1,0.253,0.253,0.042,254.421
"THCU_P3_ALL",8,1.574,0.197,0.261,248.674
"THCU_P4_L1",1,0.898,0.898,0.149,254.323
"THCU_P4_L2",1,0.843,0.843,0.14,254.442
"THCU_P4_L3",1,0.509,0.509,0.084,254.82
"THCU_P4_ALL",12,7.365,0.614,1.222,253.429
"THCU_P5_L1",1,1.072,1.072,0.178,253.222
"THCU_P5_L2",1,0.678,0.678,0.113,254.252
"THCU_P5_L3",1,0.62,0.62,0.103,253.276
"THCU_P5_ALL",8,5.497,0.687,0.912,253.502
"THCU_P6_L1",1,0.735,0.735,0.122,254.727
"THCU_P6_L2",1,0.337,0.337,0.056,253.847
"THCU_P6_L3",1,0.257,0.257,0.043,254.467
"THCU_P6_ALL",7,1.934,0.276,0.321,254.328
"THCU_P7_L1",1,0.822,0.822,0.136,254.249
"THCU_P7_L2",1,0.379,0.379,0.063,254.566
"THCU_P7_L3",1,0.297,0.297,0.049,254.754
"THCU_P7_ALL",10,3.373,0.337,0.56,254.322
"THCU_P8_L1",1,1.483,1.483,0.246,254.189
"THCU_P8_L2",1,1.341,1.341,0.223,254.833
"THCU_P8_L3",1,0.441,0.441,0.073,253.912
"THCU_P8_ALL",11,4.467,0.406,0.741,253.415
"THCU_P1_L1",1,0.22,0.22,0.037,251.534
"THCU_P1_L2",1,0.215,0.215,0.036,254.044
"THCU_P1_L3",1,0.179,0.179,0.03,254.974
"THCU_P1_ALL",4,0.688,0.172,0.114,253.419
