"Slice","Count","Total Area","Average Size","%Area","Mean"
"THLA_P1_L1",1,0.968,0.968,0.161,254.986
"THLA_P1_L2",1,1.063,1.063,0.176,254.893
"THLA_P1_L3",1,0.395,0.395,0.065,254.988
"THLA_P1_ALL",18,7.297,0.405,1.211,253.654
"THLA_P2_L1",1,1.85,1.85,0.307,254.97
"THLA_P2_L2",1,1.652,1.652,0.274,254.994
"THLA_P2_L3",1,0.664,0.664,0.11,254.979
"THLA_P2_ALL",38,15.262,0.402,2.532,254.941
"THLA_P3_L1",1,3.159,3.159,0.524,254.991
"THLA_P3_L2",1,0.9,0.9,0.149,255
"THLA_P3_L3",1,0.358,0.358,0.059,254.987
"THLA_P3_ALL",74,51.115,0.691,8.482,254.745
"THLA_P4_L1",1,2.445,2.445,0.406,254.858
"THLA_P4_L2",1,1.165,1.165,0.193,254.996
"THLA_P4_L3",1,0.752,0.752,0.125,255
"THLA_P4_ALL",23,22.424,0.975,3.721,254.826
"THLA_P5_L1",1,1.71,1.71,0.284,254.976
"THLA_P5_L2",1,0.958,0.958,0.159,254.933
"THLA_P5_L3",1,1.17,1.17,0.194,254.934
"THLA_P5_ALL",14,8.699,0.621,1.443,254.907
"THLA_P6_L1",1,3.83,3.83,0.636,254.98
"THLA_P6_L2",1,1.93,1.93,0.32,254.998
"THLA_P6_L3",1,1.484,1.484,0.246,254.991
"THLA_P6_ALL",76,74.408,0.979,12.347,254.839
"THLA_P7_L1",1,0.886,0.886,0.147,254.948
"THLA_P7_L2",1,0.645,0.645,0.107,254.965
"THLA_P7_L3",1,0.48,0.48,0.08,254.581
"THLA_P7_ALL",35,14.462,0.413,2.4,253.659
"THLA_P8_L1",1,0.841,0.841,0.14,254.989
"THLA_P8_L2",1,0.798,0.798,0.132,254.903
"THLA_P8_L3",1,0.429,0.429,0.071,255
"THLA_P8_ALL",13,3.223,0.248,0.535,254.902
