Slice,Count,Total Area,Average Size,%Area,Mean
P1_L1_2017-03-03,2,5.911,2.956,0.981,250.403
P1_L2_2017-03-03,1,6.182,6.182,1.026,254.172
P1_L3_2017-03-03,1,5.321,5.321,0.883,253.126
P1_LVS_2017-03-03,2,9.681,4.841,1.606,252.509
P2_L1_2017-03-03,1,4.694,4.694,0.779,251.923
P2_L2_2017-03-03,1,4.44,4.44,0.737,253.081
P2_L3_2017-03-03,2,3.457,1.729,0.574,251.518
P3_L1_2017-03-03,2,10.408,5.204,1.727,251.005
P3_L2_2017-03-03,1,8.762,8.762,1.454,254.205
P3_L3_2017-03-03,1,5.264,5.264,0.873,253.08
P3_LVS_2017-03-03,4,23.525,5.881,3.904,253.291
P4_L1_2017-03-03,1,4.646,4.646,0.771,253.667
P4_L2_2017-03-03,2,3.65,1.825,0.606,252.985
P4_L3_2017-03-03,1,2.557,2.557,0.424,253.933
P4_LVS_2017-03-03,1,5.118,5.118,0.849,246.394
P5_L1_2017-03-03,1,6.712,6.712,1.114,254.108
P5_L2_2017-03-03,2,7.177,3.589,1.191,247.262
P5_L3_2017-03-03,1,7.652,7.652,1.27,254.206
P6_L1_2017-03-03,2,3.022,1.511,0.501,251.499
P6_L2_2017-03-03,1,2.591,2.591,0.43,254.231
P6_L3_2017-03-03,1,2.123,2.123,0.352,254.376
P6_LVS_2017-03-03,2,3.71,1.855,0.616,250.752
P7_L1_2017-03-03,2,8.144,4.072,1.351,250.175
P7_L2_2017-03-03,2,6.869,3.435,1.14,253.378
P7_LVS_2017-03-03,5,5.912,1.182,0.981,251.453
P8_L1_2017-03-03,1,5.692,5.692,0.944,254.412
P8_L2_2017-03-03,1,5.531,5.531,0.918,254.788
P8_L3_2017-03-03,1,5.075,5.075,0.842,253.082
P8_LVS_2017-03-03,6,23.906,3.984,3.967,250.197
P9_L1_2017-03-03,1,0.22,0.22,0.037,251.534
P9_L2_2017-03-03,1,0.215,0.215,0.036,254.044
P9_L3_2017-03-03,1,0.179,0.179,0.03,254.974
P9_LVS_2017-03-03,4,0.688,0.172,0.114,253.419
P10_L1_2017-03-03,1,1.195,1.195,0.198,251.022
P10_L2_2017-03-03,1,1.35,1.35,0.224,254.99
P10_L3_2017-03-03,1,0.799,0.799,0.133,254.914
P10_LVS_2017-03-03,6,2.876,0.479,0.477,254.027
P11_L1_2017-03-03,1,0.641,0.641,0.106,247.967
P11_L2_2017-03-03,1,0.597,0.597,0.099,231.96
P11_L3_2017-03-03,1,0.253,0.253,0.042,254.421
P11_LVS_2017-03-03,8,1.574,0.197,0.261,248.674
P12_L1_2017-03-03,1,0.898,0.898,0.149,254.323
P12_L2_2017-03-03,1,0.843,0.843,0.14,254.442
P12_L3_2017-03-03,1,0.509,0.509,0.084,254.82
P12_LVS_2017-03-03,12,7.365,0.614,1.222,253.429
P13_L1_2017-03-03,1,1.072,1.072,0.178,253.222
P13_L2_2017-03-03,1,0.678,0.678,0.113,254.252
P13_L3_2017-03-03,1,0.62,0.62,0.103,253.276
P13_LVS_2017-03-03,8,5.497,0.687,0.912,253.502
P14_L1_2017-03-03,1,0.735,0.735,0.122,254.727
P14_L2_2017-03-03,1,0.337,0.337,0.056,253.847
P14_L3_2017-03-03,1,0.257,0.257,0.043,254.467
P14_LVS_2017-03-03,7,1.934,0.276,0.321,254.328
P15_L1_2017-03-03,1,0.822,0.822,0.136,254.249
P15_L2_2017-03-03,1,0.379,0.379,0.063,254.566
P15_L3_2017-03-03,1,0.297,0.297,0.049,254.754
P15_LVS_2017-03-03,10,3.373,0.337,0.56,254.322
P16_L1_2017-03-03,1,1.483,1.483,0.246,254.189
P16_L2_2017-03-03,1,1.341,1.341,0.223,254.833
P16_L3_2017-03-03,1,0.441,0.441,0.073,253.912
P16_LVS_2017-03-03,11,4.467,0.406,0.741,253.415
P17_L1_2017-03-02,1,0.968,0.968,0.161,254.986
P17_L2_2017-03-02,1,1.063,1.063,0.176,254.893
P17_L3_2017-03-02,1,0.395,0.395,0.065,254.988
P17_LVS_2017-03-02,18,7.297,0.405,1.211,253.654
P18_L1_2017-03-02,1,1.85,1.85,0.307,254.97
P18_L2_2017-03-02,1,1.652,1.652,0.274,254.994
P18_L3_2017-03-02,1,0.664,0.664,0.11,254.979
P18_LVS_2017-03-02,38,15.262,0.402,2.532,254.941
P19_L1_2017-03-02,1,3.159,3.159,0.524,254.991
P19_L2_2017-03-02,1,0.9,0.9,0.149,255
P19_L3_2017-03-02,1,0.358,0.358,0.059,254.987
P19_LVS_2017-03-02,74,51.115,0.691,8.482,254.745
P20_L1_2017-03-02,1,2.445,2.445,0.406,254.858
P20_L2_2017-03-02,1,1.165,1.165,0.193,254.996
P20_L3_2017-03-02,1,0.752,0.752,0.125,255
P20_LVS_2017-03-02,23,22.424,0.975,3.721,254.826
P21_L1_2017-03-03,1,1.71,1.71,0.284,254.976
P21_L2_2017-03-03,1,0.958,0.958,0.159,254.933
P21_L3_2017-03-03,1,1.17,1.17,0.194,254.934
P21_LVS_2017-03-03,14,8.699,0.621,1.443,254.907
P22_L1_2017-03-03,1,3.83,3.83,0.636,254.98
P22_L2_2017-03-03,1,1.93,1.93,0.32,254.998
P22_L3_2017-03-03,1,1.484,1.484,0.246,254.991
P22_LVS_2017-03-03,76,74.408,0.979,12.347,254.839
P23_L1-2017-03-03,1,0.886,0.886,0.147,254.948
P23_L2_2017-03-03,1,0.645,0.645,0.107,254.965
P23_L3_2017-03-03,1,0.48,0.48,0.08,254.581
P23_LVS_2017-03-03,35,14.462,0.413,2.4,253.659
P24_L1_2017-03-03,1,0.841,0.841,0.14,254.989
P24_L2_2017-03-03,1,0.798,0.798,0.132,254.903
P24_L3_2017-03-03,1,0.429,0.429,0.071,255
P24_LVS_2017-03-03,13,3.223,0.248,0.535,254.902
