scan_id,full_name,species,plant,plot
17,Thysanocarpus laciniatus,THLA,1,non_plot
18,Thysanocarpus laciniatus,THLA,2,non_plot
19,Thysanocarpus laciniatus,THLA,3,non_plot
20,Thysanocarpus laciniatus,THLA,4,non_plot
21,Thysanocarpus laciniatus,THLA,5,non_plot
22,Thysanocarpus laciniatus,THLA,6,non_plot
23,Thysanocarpus laciniatus,THLA,7,non_plot
24,Thysanocarpus laciniatus,THLA,8,non_plot
1,Dodecatheon hendersonii,DOHE,1,non_plot
2,Dodecatheon hendersonii,DOHE,2,non_plot
3,Dodecatheon hendersonii,DOHE,3,non_plot
4,Dodecatheon hendersonii,DOHE,4,non_plot
5,Dodecatheon hendersonii,DOHE,5,non_plot
6,Dodecatheon hendersonii,DOHE,6,non_plot
7,Dodecatheon hendersonii,DOHE,7,non_plot
8,Dodecatheon hendersonii,DOHE,8,non_plot
9,Thysanocarpus curvipes,THCU,1,non_plot
10,Thysanocarpus curvipes,THCU,2,non_plot
11,Thysanocarpus curvipes,THCU,3,non_plot
12,Thysanocarpus curvipes,THCU,4,non_plot
13,Thysanocarpus curvipes,THCU,5,non_plot
14,Thysanocarpus curvipes,THCU,6,non_plot
15,Thysanocarpus curvipes,THCU,7,non_plot
16,Thysanocarpus curvipes,THCU,8,non_plot
