Slice,Count,Total Area,Average Size,%Area,Mean
leptosiphon-p1-all,9,1.437,0.160,0.424,254.606
leptosiphon-p1-l1,1,0.211,0.211,0.062,254.805
leptosiphon-p1-l2,1,0.175,0.175,0.052,254.974
leptosiphon-p1-l3,1,0.132,0.132,0.039,254.931
leptosiphon-p2-all,8,2.631,0.329,0.775,254.636
leptosiphon-p2-l1,1,0.358,0.358,0.105,254.987
leptosiphon-p2-l2,1,0.519,0.519,0.153,254.639
leptosiphon-p2-l3,1,0.457,0.457,0.135,254.580
leptosiphon-p3-all,18,1.586,0.088,0.467,254.725
leptosiphon-p3-l1,1,0.126,0.126,0.037,254.855
leptosiphon-p3-l2,1,0.158,0.158,0.047,254.971
leptosiphon-p3-l3,1,0.208,0.208,0.061,254.868
leptosiphon-p4-all,6,1.333,0.222,0.393,253.638
leptosiphon-p4-l1,1,0.229,0.229,0.068,254.980
leptosiphon-p4-l2,1,0.287,0.287,0.085,254.014
leptosiphon-p4-l3,1,0.250,0.250,0.074,253.939
leptosiphon-p5-all,7,1.265,0.181,0.373,254.640
leptosiphon-p5-l1,1,0.138,0.138,0.041,255.000
leptosiphon-p5-l2,1,0.198,0.198,0.058,255.000
leptosiphon-p5-l3,1,0.257,0.257,0.076,255.000
leptosiphon-p6-all,20,2.547,0.127,0.751,254.773
leptosiphon-p6-l1,1,0.287,0.287,0.084,254.952
leptosiphon-p6-l2,1,0.333,0.333,0.098,254.931
leptosiphon-p6-l3,1,0.348,0.348,0.103,254.987
leptosiphon-p7-all,21,4.668,0.222,1.375,254.043
leptosiphon-p7-l1,1,0.458,0.458,0.135,254.601
leptosiphon-p7-l2,1,0.503,0.503,0.148,254.827
leptosiphon-p7-l3,1,0.318,0.318,0.094,254.942
leptosiphon-p8-all,14,1.427,0.102,0.420,254.952
leptosiphon-p8-l1,1,0.141,0.141,0.042,254.935
leptosiphon-p8-l2,1,0.172,0.172,0.051,254.973
leptosiphon-p8-l3,1,0.169,0.169,0.050,254.811
