Slice,Count,Total Area,Average Size,%Area,Mean
gedis_1_1,4,5.834,1.459,1.525,254.909
gedis_1_2,4,4.458,1.115,1.165,251.654
gedis_1_3,2,7.602,3.801,1.987,249.544
gedis_1_all,6,13.246,2.208,3.462,251.868
gedis_2_1,1,2.202,2.202,0.575,254.954
gedis_2_2,1,4.173,4.173,1.091,254.389
gedis_2_3,2,3.822,1.911,0.999,254.217
gedis_2_all,23,15.806,0.687,4.131,254.426
gedis_3_1,1,8.018,8.018,2.095,249.166
gedis_3_2,1,6.744,6.744,1.762,253.646
gedis_3_3,2,3.697,1.848,0.966,252.309
gedis_3_all,20,31.245,1.562,8.165,252.834
gedis_4_1,2,6.771,3.386,1.770,254.940
gedis_4_2,4,7.507,1.877,1.962,254.939
gedis_4_3,4,3.970,0.992,1.037,254.865
gedis_4_all,37,35.756,0.966,9.344,254.786
gedis_5_1,7,6.943,0.992,1.815,253.280
gedis_5_2,1,4.294,4.294,1.122,254.272
gedis_5_3,7,6.116,0.874,1.598,254.315
gedis_5_all,54,36.670,0.679,9.583,254.429
