Slice,Count,Total Area,Average Size,%Area,Mean
lost-p1-all,66,15.612,0.237,2.591,254.458
lost-p1-l1,1,0.869,0.869,0.144,250.373
lost-p1-l2,1,0.920,0.920,0.153,253.292
lost-p1-l3,1,0.696,0.696,0.115,251.000
lost-p2-all,76,16.311,0.215,2.706,254.007
lost-p2-l1,3,0.697,0.232,0.116,253.707
lost-p2-l2,3,0.785,0.262,0.130,254.980
lost-p2-l3,4,0.621,0.155,0.103,254.882
lost-p3-all,63,18.594,0.295,3.085,254.745
lost-p3-l1,2,0.779,0.390,0.129,252.791
lost-p3-l2,1,1.260,1.260,0.209,254.412
lost-p3-l3,2,0.718,0.359,0.119,253.030
lost-p4-all,40,5.487,0.137,0.910,254.598
lost-p4-l1,3,1.259,0.420,0.209,254.336
lost-p4-l2,4,1.240,0.310,0.206,252.787
lost-p4-l3,6,0.609,0.102,0.101,255.000
lost-p5-all,46,7.805,0.170,1.295,254.350
lost-p5-l1,1,0.799,0.799,0.133,248.168
lost-p5-l2,1,0.641,0.641,0.106,245.153
lost-p5-l3,1,0.514,0.514,0.085,254.982
lost-p6-all,72,12.733,0.177,2.113,254.747
lost-p6-l1,1,0.463,0.463,0.077,253.618
lost-p6-l2,1,0.671,0.671,0.111,253.774
lost-p6-l3,3,0.513,0.171,0.085,253.298
lost-p7-all,46,6.125,0.133,1.016,253.929
lost-p7-l1,1,0.405,0.405,0.067,254.977
lost-p7-l2,5,0.443,0.089,0.074,253.598
lost-p7-l3,3,0.382,0.127,0.063,254.697
lost-p8-all,82,13.883,0.169,2.304,254.290
lost-p8-l1,1,0.697,0.697,0.116,254.856
lost-p8-l2,1,0.638,0.638,0.106,251.325
lost-p8-l3,5,0.481,0.096,0.080,254.895
