Slice,Count,Total Area,Average Size,%Area,Mean
CRCO34_p1_l1.jpeg,16,0.677,0.042,0.127,254.417
CRCO34_p1_lvs.jpeg,44,1.844,0.042,0.346,254.807
CRCO34_p2_l1.jpeg,15,0.670,0.045,0.126,254.813
CRCO34_p2_lvs.jpeg,39,1.610,0.041,0.302,254.747
CRCO34_p3_l1.jpeg,13,0.539,0.041,0.101,254.968
CRCO34_p3_lvs.jpeg,35,1.685,0.048,0.317,254.773
CRCO34_p4_l1.jpeg,15,0.840,0.056,0.158,254.669
CRCO34_p4_lvs.jpeg,40,1.701,0.043,0.319,254.669
CRCO34_p5_l1.jpeg,15,0.647,0.043,0.121,254.239
CRCO34_p5_lvs.jpeg,31,1.103,0.036,0.207,254.826
CRCO34_p6_l1.jpeg,15,0.648,0.043,0.122,254.149
CRCO34_p6_lvs.jpeg,29,1.078,0.037,0.202,254.791
CRCO34_p7_l1.jpeg,15,0.806,0.054,0.151,254.468
CRCO34_p8_l1.jpeg,15,0.791,0.053,0.149,254.700
