Slice,Count,Total Area,Average Size,%Area,Mean
brho-p1-all,32,23.777,0.743,3.945,254.929
brho-p1-l1,3,2.998,0.999,0.497,254.972
brho-p1-l2,3,3.310,1.103,0.549,254.974
brho-p1-l3,3,2.628,0.876,0.436,254.965
brho-p2-all,17,15.186,0.893,2.520,253.679
brho-p2-l1,4,2.737,0.684,0.454,254.995
brho-p2-l2,2,2.813,1.407,0.467,254.801
brho-p2-l3,4,1.523,0.381,0.253,254.849
brho-p3-all,33,19.214,0.582,3.188,254.266
brho-p3-l1,5,2.867,0.573,0.476,254.661
brho-p3-l2,4,3.041,0.760,0.505,254.997
brho-p3-l3,4,3.274,0.819,0.543,255.000
brho-p4-all,74,69.872,0.944,11.594,254.376
brho-p4-l1,4,3.993,0.998,0.663,254.980
brho-p4-l2,1,3.446,3.446,0.572,254.919
brho-p4-l3,4,3.976,0.994,0.660,254.946
brho-p5-all,70,55.641,0.795,9.233,254.414
brho-p5-l1,2,4.797,2.398,0.796,254.974
brho-p5-l2,3,2.783,0.928,0.462,254.954
brho-p5-l3,4,1.849,0.462,0.307,254.986
brho-p6-all-1,65,76.380,1.175,12.674,254.888
brho-p6-all-2,21,28.830,1.373,4.784,251.946
brho-p6-l1,3,2.389,0.796,0.396,254.996
brho-p6-l2,3,4.152,1.384,0.689,254.999
brho-p6-l3,4,3.651,0.913,0.606,254.998
brho-p7-all,67,53.186,0.794,8.825,254.179
brho-p7-l1,4,6.324,1.581,1.049,254.976
brho-p7-l2,2,2.184,1.092,0.362,254.926
brho-p7-l3,1,2.309,2.309,0.383,254.992
brho-p8-all,13,18.509,1.424,3.071,254.773
brho-p8-l1,3,1.730,0.577,0.287,254.887
brho-p8-l2,2,1.268,0.634,0.210,254.988
brho-p8-l3,1,3.004,3.004,0.498,254.712
