Slice,Count,Total Area,Average Size,%Area,Mean
lubi-p1-all,40,13.487,0.337,2.551,254.522
lubi-p1-l1,1,2.070,2.070,0.391,254.653
lubi-p1-l2,1,1.178,1.178,0.223,253.824
lubi-p1-l3,1,1.149,1.149,0.217,254.427
lubi-p2-ALL,25,20.119,0.805,3.806,254.280
lubi-p2-l1,2,1.724,0.862,0.326,252.345
lubi-p2-l2,1,1.141,1.141,0.216,254.055
lubi-p2-l3,1,1.891,1.891,0.358,254.582
lubi-p3-all,13,7.237,0.557,1.369,251.166
lubi-p3-l1,1,1.233,1.233,0.233,253.955
lubi-p3-l2,1,0.662,0.662,0.125,252.437
lubi-p3-l3,1,0.980,0.980,0.185,253.975
lubi-p4-all,12,7.700,0.642,1.457,251.400
lubi-p4-l1,1,1.784,1.784,0.338,254.647
lubi-p4-l2,1,2.553,2.553,0.483,254.864
lubi-p4-l3,1,1.304,1.304,0.247,254.467
lubi-p5-all,9,4.729,0.525,0.895,254.592
lubi-p5-l1,1,1.367,1.367,0.259,254.635
lubi-p5-l2,1,0.816,0.816,0.154,253.443
lubi-p5-l3,1,0.670,0.670,0.127,253.301
lubi-p6-all,23,28.906,1.257,5.468,254.517
lubi-p6-l1,2,2.270,1.135,0.429,252.629
lubi-p6-l2,1,2.189,2.189,0.414,254.595
lubi-p6-l3,1,2.937,2.937,0.556,254.785
lubi-p7-all,16,3.760,0.235,0.711,253.504
lubi-p7-l1,2,2.132,1.066,0.403,252.716
lubi-p7-l2,1,1.307,1.307,0.247,254.241
lubi-p7-l3,2,1.007,0.504,0.191,252.810
lubi-p8-all,14,2.978,0.213,0.563,253.030
lubi-p8-l1,1,1.491,1.491,0.282,254.243
lubi-p8-l2,1,1.258,1.258,0.238,253.020
lubi-p8-l3,4,0.467,0.117,0.088,252.225
