Slice,Count,Total Area,Average Size,%Area,Mean
vipe-p1-all,20,42.384,2.119,7.033,254.917
vipe-p1-l1,1,6.024,6.024,1.000,254.948
vipe-p1-l2,1,6.872,6.872,1.140,254.980
vipe-p1-l3,1,3.860,3.860,0.640,254.954
vipe-p2-all,34,87.909,2.586,14.587,254.818
vipe-p2-l1,1,8.752,8.752,1.452,254.997
vipe-p2-l2,1,6.468,6.468,1.073,254.992
vipe-p2-l3,2,6.608,3.304,1.096,254.953
vipe-p3-all,13,33.266,2.559,5.520,254.597
vipe-p3-l1,3,2.697,0.899,0.447,254.965
vipe-p3-l2,3,8.922,2.974,1.480,254.965
vipe-p3-l3,2,7.090,3.545,1.176,254.923
vipe-p4-all-1,39,82.284,2.110,13.653,254.470
vipe-p4-all-2,41,75.401,1.839,12.511,254.491
vipe-p4-l1,2,3.164,1.582,0.525,253.938
vipe-p4-l2,2,5.619,2.809,0.932,254.651
vipe-p4-l3,4,5.537,1.384,0.919,254.211
vipe-p5-all,7,12.429,1.776,2.062,254.922
vipe-p5-l1,1,2.954,2.954,0.490,254.947
vipe-p5-l2,1,3.759,3.759,0.624,254.865
vipe-p5-l3,1,4.023,4.023,0.668,254.939
vipe-p6-all,15,22.579,1.505,3.747,253.956
vipe-p6-l1,3,4.936,1.645,0.819,254.573
vipe-p6-l2,3,2.753,0.918,0.457,254.657
vipe-p6-l3,2,4.643,2.321,0.770,253.643
vipe-p7-all-1,54,73.211,1.356,12.148,253.703
vipe-p7-all-2,27,18.693,0.692,3.102,254.452
vipe-p7-l1,1,2.458,2.458,0.408,254.898
vipe-p7-l2,1,2.220,2.220,0.368,254.977
vipe-p7-l3,1,2.832,2.832,0.470,254.987
vipe-p8-all,56,97.139,1.735,16.118,254.327
vipe-p8-l1,1,5.521,5.521,0.916,254.993
vipe-p8-l2,3,8.108,2.703,1.345,254.915
vipe-p8-l3,2,6.591,3.295,1.094,254.219
