Slice,Count,Total Area,Average Size,%Area,Mean
vumy-p4-all,20,18.613,0.931,3.089,254.891
vumy-p4-l1,3,1.867,0.622,0.310,254.988
vumy-p4-l2,1,1.610,1.610,0.267,255.000
vumy-p4-l3,3,1.626,0.542,0.270,254.979
vumy-p5-all,23,8.861,0.385,1.470,254.952
vumy-p5-l1,5,1.426,0.285,0.237,254.938
vumy-p5-l2,4,1.564,0.391,0.260,254.986
vumy-p5-l3,3,1.379,0.460,0.229,254.990
vumy-p6-all,36,8.829,0.245,1.465,254.847
vumy-p6-l1,1,0.284,0.284,0.047,254.984
vumy-p6-l2,2,0.598,0.299,0.099,254.985
vumy-p6-l3,3,0.408,0.136,0.068,254.912
vumy-p7-all,49,22.022,0.449,3.654,254.940
vumy-p7-l1,5,2.529,0.506,0.420,254.848
vumy-p7-l2,7,3.668,0.524,0.609,255.000
vumy-p7-l3,7,2.621,0.374,0.435,254.999
vumy-p8-all,31,11.429,0.369,1.896,254.752
vumy-p8-l1,3,1.484,0.495,0.246,254.980
vumy-p8-l2,3,1.372,0.457,0.228,254.897
vumy-p8-l3,3,1.246,0.415,0.207,254.982
