Slice,Count,Total Area,Average Size,%Area,Mean
microseris-p1-all,4,8.002,2.001,1.232,254.457
microseris-p1-l1,2,2.639,1.320,0.406,254.956
microseris-p1-l2,1,2.586,2.586,0.398,254.286
microseris-p1-l3,2,3.172,1.586,0.488,254.553
microseris-p2-all,6,11.266,1.878,1.734,251.685
microseris-p2-l1,1,4.325,4.325,0.666,252.656
microseris-p2-l2,1,3.431,3.431,0.528,253.081
microseris-p2-l3,1,3.546,3.546,0.546,253.983
microseris-p3-all,9,12.171,1.352,1.873,253.708
microseris-p3-l1,2,4.287,2.143,0.660,254.065
microseris-p3-l2,1,2.793,2.793,0.430,251.901
microseris-p3-l3,2,4.025,2.013,0.620,251.706
microseris-p4-all,5,6.282,1.256,0.967,254.462
microseris-p4-l1,1,1.628,1.628,0.251,253.847
microseris-p4-l2,1,1.676,1.676,0.258,254.910
microseris-p4-l3,1,1.690,1.690,0.260,254.662
microseris-p5-all,6,12.380,2.063,1.905,252.591
microseris-p5-l1,1,5.839,5.839,0.899,254.080
microseris-p5-l2,3,6.353,2.118,0.978,253.134
microseris-p5-l3,1,3.974,3.974,0.612,252.553
microseris-p6-all,3,11.776,3.925,1.813,254.164
microseris-p6-l1,2,5.724,2.862,0.881,254.351
microseris-p6-l2,3,4.303,1.434,0.662,254.863
microseris-p6-l3,3,2.165,0.722,0.333,250.015
microseris-p7-all,5,10.963,2.193,1.687,253.151
microseris-p7-l1,3,2.682,0.894,0.413,251.590
microseris-p7-l2,3,3.218,1.073,0.495,254.742
microseris-p7-l3,1,2.374,2.374,0.365,254.863
microseris-p8-all,5,6.885,1.377,1.060,253.890
microseris-p8-l1,1,2.707,2.707,0.417,254.959
microseris-p8-l2,2,2.416,1.208,0.372,254.763
microseris-p8-l3,1,2.070,2.070,0.319,254.896
