Slice,Count,Total Area,Average Size,%Area,Mean
avfa-p1-all,29,68.465,2.361,10.627,254.833
avfa-p1-l1,4,7.135,1.784,1.107,254.961
avfa-p1-l2,4,8.307,2.077,1.289,254.980
avfa-p1-l3,4,8.537,2.134,1.325,254.921
avfa-p2-all,14,60.524,4.323,9.394,254.819
avfa-p2-l1,3,4.846,1.615,0.752,254.961
avfa-p2-l2,3,9.696,3.232,1.505,254.977
avfa-p2-l3,3,8.965,2.988,1.392,254.980
avfa-p3-all,22,77.770,3.535,12.071,254.402
avfa-p3-l1,6,6.982,1.164,1.084,254.921
avfa-p3-l2,6,11.675,1.946,1.812,254.612
avfa-p3-l3,6,8.714,1.452,1.353,254.735
avfa-p4-all,17,69.628,4.096,10.807,254.733
avfa-p4-l1,4,14.077,3.519,2.185,254.754
avfa-p4-l2,4,10.247,2.562,1.590,254.863
avfa-p4-l3,5,18.402,3.680,2.856,254.264
avfa-p5-all,24,66.313,2.763,10.293,254.755
avfa-p5-l1,3,8.727,2.909,1.355,254.563
avfa-p5-l2,5,10.884,2.177,1.689,254.928
avfa-p5-l3,4,7.107,1.777,1.103,254.904
avfa-p6-all,23,60.011,2.609,9.315,254.863
avfa-p6-l1,8,9.085,1.136,1.410,254.964
avfa-p6-l2,5,8.041,1.608,1.248,254.990
avfa-p6-l3,6,8.872,1.479,1.377,254.984
avfa-p7-all,24,81.452,3.394,12.643,254.710
avfa-p7-l1,6,9.834,1.639,1.526,254.652
avfa-p7-l2,5,12.590,2.518,1.954,254.852
avfa-p7-l3,4,6.810,1.702,1.057,254.978
avfa-p8-all,19,44.589,2.347,6.921,254.674
avfa-p8-l1,3,6.415,2.138,0.996,254.910
avfa-p8-l2,5,5.114,1.023,0.794,254.988
avfa-p8-l3,7,16.759,2.394,2.601,254.929
