Slice,Count,Total Area,Average Size,%Area,Mean
lase-p1-all,4,9.932,2.483,1.542,254.984
lase-p1-l1,3,13.499,4.500,2.095,254.022
lase-p1-l2,2,13.653,6.826,2.119,254.936
lase-p1-l3,2,13.951,6.975,2.165,254.982
lase-p2-all,8,39.088,4.886,6.067,254.693
lase-p2-l1,3,11.439,3.813,1.776,254.884
lase-p2-l2,3,14.564,4.855,2.261,254.785
lase-p2-l3,2,18.939,9.469,2.940,251.446
lase-p3-all,8,96.374,12.047,14.959,254.414
lase-p3-l1,1,19.202,19.202,2.980,254.826
lase-p3-l2,1,18.806,18.806,2.919,254.940
lase-p3-l3,1,14.063,14.063,2.183,254.820
lase-p4-all,19,119.901,6.311,18.611,254.875
lase-p4-l1,2,15.932,7.966,2.473,254.578
lase-p4-l2,3,22.748,7.583,3.531,254.484
lase-p4-l3,4,17.946,4.487,2.786,254.236
lase-p5-all,6,25.802,4.300,4.005,254.722
lase-p5-l1,4,11.445,2.861,1.776,254.663
lase-p5-l2,1,9.903,9.903,1.537,254.550
lase-p5-l3,1,13.556,13.556,2.104,254.898
lase-p6-all,6,36.456,6.076,5.658,254.836
lase-p6-l1,1,14.999,14.999,2.328,254.921
lase-p6-l2,2,20.983,10.491,3.257,251.818
lase-p6-l3,2,19.190,9.595,2.979,254.726
lase-p7-all,6,13.334,2.222,2.070,254.204
lase-p7-l1,2,6.255,3.128,0.971,254.942
lase-p7-l2,3,9.006,3.002,1.398,253.833
lase-p7-l3,1,9.006,9.006,1.398,254.957
lase-p8-all,5,24.451,4.890,3.795,254.945
lase-p8-l1,1,9.932,9.932,1.542,254.988
lase-p8-l2,3,13.075,4.358,2.029,253.418
