Slice,Count,Total Area,Average Size,%Area,Mean
lomu-p1-l1,3,2.368,0.789,0.368,254.799
lomu-p1-l2,2,2.182,1.091,0.339,254.930
lomu-p1-l3,4,2.730,0.683,0.424,254.436
lomu-p2-all,70,73.668,1.052,11.434,254.796
lomu-p2-l1,3,2.673,0.891,0.415,254.990
lomu-p2-l2,3,3.189,1.063,0.495,254.554
lomu-p2-l3,3,2.797,0.932,0.434,254.987
lomu-p3-all,30,35.416,1.181,5.497,254.632
lomu-p3-l1,61,73.946,1.212,11.478,254.800
lomu-p3-l2,3,2.674,0.891,0.415,254.824
lomu-p3-l3,4,2.243,0.561,0.348,254.904
lomu-p4-all,31,30.050,0.969,4.664,254.844
lomu-p4-l1,2,2.254,1.127,0.350,254.898
lomu-p4-l2,4,2.187,0.547,0.339,254.972
lomu-p4-l3,3,2.379,0.793,0.369,254.944
lomu-p5-all,15,17.091,1.139,2.653,254.635
lomu-p5-l1,5,4.492,0.898,0.697,254.374
lomu-p5-l2,2,2.181,1.091,0.339,254.935
lomu-p5-l3,2,2.648,1.324,0.411,254.778
lomu-p6-all,23,23.445,1.019,3.639,254.902
lomu-p6-l1,6,5.011,0.835,0.778,254.891
lomu-p6-l2,3,2.362,0.787,0.367,254.275
lomu-p6-l3,3,3.126,1.042,0.485,254.755
lomu-p7-all,37,74.933,2.025,11.631,254.514
lomu-p7-l1,2,2.630,1.315,0.408,254.782
lomu-p7-l2,3,2.094,0.698,0.325,254.936
lomu-p7-l3,3,4.080,1.360,0.633,254.999
lomu-p8-all,11,10.954,0.996,1.700,254.866
lomu-p8-l1,3,2.082,0.694,0.323,254.594
lomu-p8-l2,4,3.773,0.943,0.586,254.778
lomu-p8-l3,2,1.501,0.751,0.233,255.000
