Slice,Count,Total Area,Average Size,%Area,Mean
avfa-p1-all,32,67.457,2.108,10.470,254.591
avfa-p1-l1,4,7.109,1.777,1.103,254.937
avfa-p1-l2,4,8.253,2.063,1.281,254.963
avfa-p1-l3,4,8.482,2.120,1.317,254.798
avfa-p2-all,14,60.203,4.300,9.344,254.764
avfa-p2-l1,3,4.820,1.607,0.748,254.905
avfa-p2-l2,3,9.669,3.223,1.501,254.981
avfa-p2-l3,3,8.937,2.979,1.387,254.977
avfa-p3-all,24,94.819,3.951,14.717,253.524
avfa-p3-l1,6,6.954,1.159,1.079,254.884
avfa-p3-l2,6,11.603,1.934,1.801,254.501
avfa-p3-l3,6,8.694,1.449,1.349,254.694
avfa-p4-all,17,69.445,4.085,10.779,254.708
avfa-p4-l1,4,14.060,3.515,2.182,254.712
avfa-p4-l2,4,10.291,2.573,1.597,254.885
avfa-p4-l3,5,18.342,3.668,2.847,254.252
avfa-p5-all,24,66.162,2.757,10.269,254.724
avfa-p5-l1,3,8.681,2.894,1.347,254.534
avfa-p5-l2,5,10.809,2.162,1.678,254.896
avfa-p5-l3,4,7.057,1.764,1.095,254.911
avfa-p6-all,23,59.522,2.588,9.239,254.864
avfa-p6-l1,8,9.024,1.128,1.401,254.941
avfa-p6-l2,5,7.970,1.594,1.237,254.973
avfa-p6-l3,6,8.841,1.473,1.372,254.983
avfa-p7-all,25,81.023,3.241,12.576,254.615
avfa-p7-l1,6,9.817,1.636,1.524,254.626
avfa-p7-l2,5,12.572,2.514,1.951,254.827
avfa-p7-l3,4,6.790,1.697,1.054,254.975
avfa-p8-all,18,44.907,2.495,6.970,254.798
avfa-p8-l1,3,6.386,2.129,0.991,254.867
avfa-p8-l2,5,5.090,1.018,0.790,254.966
avfa-p8-l3,7,16.759,2.394,2.601,254.929
