Slice,Count,Total Area,Average Size,%Area,Mean
lase-p1-all,4,9.932,2.483,1.542,254.984
lase-p1-l1,3,13.447,4.482,2.087,253.836
lase-p1-l2,2,13.639,6.819,2.117,254.922
lase-p1-l3,2,13.890,6.945,2.156,254.975
lase-p2-all,8,38.947,4.868,6.045,254.693
lase-p2-l1,3,11.378,3.793,1.766,254.784
lase-p2-l2,3,14.433,4.811,2.240,254.562
lase-p2-l3,2,18.856,9.428,2.927,250.375
lase-p3-all,8,93.939,11.742,14.581,252.709
lase-p3-l1,1,19.006,19.006,2.950,254.652
lase-p3-l2,1,18.610,18.610,2.889,254.934
lase-p3-l3,1,13.977,13.977,2.169,254.847
lase-p4-all,19,116.971,6.156,18.156,254.632
lase-p4-l1,2,15.803,7.902,2.453,254.425
lase-p4-l2,3,22.595,7.532,3.507,254.507
lase-p4-l3,4,17.758,4.439,2.756,253.943
lase-p5-all,6,25.802,4.300,4.005,254.722
lase-p5-l1,4,11.408,2.852,1.771,254.581
lase-p5-l2,1,9.861,9.861,1.531,254.454
lase-p5-l3,1,13.541,13.541,2.102,254.876
lase-p6-all,6,36.456,6.076,5.658,254.836
lase-p6-l1,1,14.983,14.983,2.326,254.921
lase-p6-l2,2,20.983,10.491,3.257,251.818
lase-p6-l3,2,19.129,9.565,2.969,254.710
lase-p7-all,6,13.617,2.269,2.113,254.918
lase-p7-l1,2,6.255,3.128,0.971,254.942
lase-p7-l2,3,8.997,2.999,1.396,253.626
lase-p7-l3,1,8.996,8.996,1.396,254.954
lase-p8-all,5,24.337,4.867,3.778,254.892
lase-p8-l1,1,9.899,9.899,1.536,254.981
lase-p8-l2,3,13.016,4.339,2.020,252.915
