Slice,Count,Total Area,Average Size,%Area,Mean
napu-p1-all-1,46,54.533,1.186,8.464,254.508
napu-p1-all-2,28,33.702,1.204,5.231,254.656
napu-p1-l1,8,8.569,1.071,1.330,254.939
napu-p1-l2,8,6.458,0.807,1.002,254.840
napu-p1-l3,3,3.227,1.076,0.501,254.998
napu-p2-all,11,28.246,2.568,4.384,254.606
napu-p2-l1,4,7.855,1.964,1.219,254.805
napu-p2-l2,2,4.738,2.369,0.735,254.998
napu-p2-l3,7,5.713,0.816,0.887,254.993
napu-p3-all,21,58.331,2.778,9.054,254.300
napu-p3-l1,6,5.382,0.897,0.835,254.531
napu-p3-l2,5,3.450,0.690,0.536,254.914
napu-p3-l3,6,7.180,1.197,1.115,254.982
napu-p4-all,24,29.790,1.241,4.624,254.564
napu-p4-l1,4,4.054,1.013,0.629,254.680
napu-p4-l2,3,4.089,1.363,0.635,254.981
napu-p4-l3,3,3.506,1.169,0.544,254.809
napu-p5-all,20,32.211,1.611,5.000,254.584
napu-p5-l1,5,3.443,0.689,0.534,254.907
napu-p5-l2,7,6.277,0.897,0.974,254.908
napu-p5-l3,7,6.373,0.910,0.989,254.915
napu-p6-all,38,75.988,2.000,11.794,254.770
napu-p6-l1,7,6.144,0.878,0.954,254.976
napu-p6-l2,8,8.371,1.046,1.299,254.984
napu-p6-l3,7,6.588,0.941,1.023,254.949
napu-p7-all,23,45.514,1.979,7.065,248.473
napu-p7-l1,9,7.400,0.822,1.149,254.979
napu-p7-l2,7,7.204,1.029,1.118,254.960
napu-p7-l3,7,9.064,1.295,1.407,254.982
napu-p8-all,70,80.755,1.154,12.534,253.515
napu-p8-l1,13,11.191,0.861,1.737,254.984
napu-p8-l2,6,2.531,0.422,0.393,254.984
napu-p8-l3,12,4.423,0.369,0.687,254.967
