Slice,Count,Total Area,Average Size,%Area,Mean
napu-p1-all,46,54.533,1.186,8.464,254.508
napu-p1-all,28,34.024,1.215,5.281,254.748
napu-p1-l1,8,8.569,1.071,1.33,254.939
napu-p1-l2,8,6.434,0.804,0.999,254.813
napu-p1-l3,3,3.165,1.055,0.491,254.997
napu-p2-all,11,28.086,2.553,4.359,254.602
napu-p2-l1,4,7.855,1.964,1.219,254.805
napu-p2-l2,2,4.686,2.343,0.727,254.993
napu-p2-l3,7,5.639,0.806,0.875,254.965
napu-p3-all,21,57.994,2.762,9.002,254.248
napu-p3-l1,6,5.263,0.877,0.817,254.671
napu-p3-l2,5,3.362,0.672,0.522,254.98
napu-p3-l3,6,7.129,1.188,1.107,254.97
napu-p4-all,24,29.79,1.241,4.624,254.564
napu-p4-l1,4,3.888,0.972,0.603,254.739
napu-p4-l2,3,4.043,1.348,0.628,254.963
napu-p4-l3,3,3.431,1.144,0.532,254.886
napu-p5-all,20,31.694,1.585,4.919,254.489
napu-p5-l1,5,3.362,0.672,0.522,254.651
napu-p5-l2,7,6.229,0.89,0.967,254.905
napu-p5-l3,7,6.373,0.91,0.989,254.915
napu-p6-all,39,75.05,1.924,11.649,254.756
napu-p6-l1,7,6.028,0.861,0.936,254.938
napu-p6-l2,8,8.251,1.031,1.281,254.974
napu-p6-l3,7,6.559,0.937,1.018,254.944
napu-p7-all,23,45.514,1.979,7.065,248.473
napu-p7-l1,9,7.296,0.811,1.133,254.978
napu-p7-l2,7,7.165,1.024,1.112,254.963
napu-p7-l3,7,8.993,1.285,1.396,254.975
napu-p8-all,69,80.72,1.17,12.529,253.501
napu-p8-l1,13,11.115,0.855,1.725,254.978
napu-p8-l2,5,2.343,0.469,0.364,254.984
napu-p8-l3,12,4.272,0.356,0.663,254.967
