Slice,Count,Total Area,Average Size,%Area,Mean
caco-p1-l1,3,2.429,0.810,0.377,251.433
caco-p1-l2,2,2.840,1.420,0.441,254.558
caco-p1-l3,2,2.613,1.306,0.406,254.110
caco-p2-l1,3,3.965,1.322,0.615,254.448
caco-p2-l2,3,3.294,1.098,0.511,253.625
caco-p2-l3,3,2.824,0.941,0.438,253.175
caco-p3-l1,2,1.638,0.819,0.254,254.869
caco-p3-l2,3,1.851,0.617,0.287,251.944
caco-p3-l3,1,1.449,1.449,0.225,249.833
caco-p4-l1,3,1.346,0.449,0.209,249.738
caco-p4-l2,2,1.694,0.847,0.263,254.912
caco-p4-l3,2,1.535,0.768,0.238,254.651
caco-p5-all,49,31.502,0.643,4.890,254.490
caco-p5-l1,2,2.305,1.153,0.358,250.145
caco-p5-l2,2,1.772,0.886,0.275,252.016
caco-p5-l3,2,2.207,1.103,0.342,254.545
caco-p6-all,72,62.452,0.867,9.694,254.411
caco-p6-l1,2,2.735,1.367,0.424,250.362
caco-p6-l2,2,2.355,1.177,0.365,254.005
caco-p6-l3,2,1.891,0.945,0.293,254.777
caco-p7-all,36,30.511,0.848,4.736,254.218
caco-p7-l1,3,2.693,0.898,0.418,254.359
caco-p7-l2,3,1.984,0.661,0.308,254.315
caco-p7-l3,2,2.045,1.022,0.317,254.055
caco-p8-all,61,32.613,0.535,5.062,254.096
caco-p8-l1,2,1.303,0.651,0.202,250.212
caco-p8-l2,1,1.391,1.391,0.216,250.930
caco-p8-l3,2,1.657,0.829,0.257,251.064
