Slice,Count,Total Area,Average Size,%Area,Mean
croton-p1-all,9,23.252,2.584,3.609,253.369
croton-p1-l1,1,4.240,4.240,0.658,252.798
croton-p1-l2,1,4.501,4.501,0.699,251.874
croton-p1-l3,1,2.933,2.933,0.455,252.256
croton-p2-all,14,16.237,1.160,2.520,254.786
croton-p2-l1,1,2.605,2.605,0.404,254.416
croton-p2-l2,1,2.422,2.422,0.376,252.668
croton-p2-l3,1,1.442,1.442,0.224,252.867
croton-p3-all,18,60.679,3.371,9.418,254.139
croton-p3-l1,1,7.371,7.371,1.144,254.202
croton-p3-l2,1,8.768,8.768,1.361,254.293
croton-p3-l3,1,1.753,1.753,0.272,249.291
croton-p4-all,28,50.661,1.809,7.863,252.307
croton-p4-l1,1,5.965,5.965,0.926,254.956
croton-p4-l2,1,5.595,5.595,0.868,254.112
croton-p4-l3,1,4.859,4.859,0.754,253.476
croton-p5-all,9,9.649,1.072,1.498,252.668
croton-p5-l1,1,3.275,3.275,0.508,254.410
croton-p5-l2,1,1.069,1.069,0.166,251.999
croton-p5-l3,1,1.949,1.949,0.302,253.694
croton-p6-all,17,25.669,1.510,3.984,254.002
croton-p6-l1,1,3.133,3.133,0.486,254.574
croton-p6-l2,1,2.101,2.101,0.326,253.997
croton-p6-l3,1,3.804,3.804,0.590,254.283
croton-p7-all,9,13.116,1.457,2.036,253.649
croton-p7-l1,1,3.049,3.049,0.473,254.309
croton-p7-l2,1,2.895,2.895,0.449,254.896
croton-p7-l3,1,1.151,1.151,0.179,252.899
croton-p8-all,9,12.697,1.411,1.971,253.568
croton-p8-l1,1,2.288,2.288,0.355,254.365
croton-p8-l2,1,2.522,2.522,0.391,253.904
croton-p8-l3,1,2.417,2.417,0.375,254.002
