Slice,Count,Total Area,Average Size,%Area,Mean
lara-p1-all,25,26.743,1.070,4.151,254.216
lara-p1-l1,1,3.233,3.233,0.502,254.970
lara-p1-l2,1,3.434,3.434,0.533,254.964
lara-p1-l3,1,2.254,2.254,0.350,254.990
lara-p2-all,30,21.558,0.719,3.346,254.454
lara-p2-l1,1,2.483,2.483,0.385,254.882
lara-p2-l2,1,2.262,2.262,0.351,254.933
lara-p2-l3,1,3.349,3.349,0.520,254.713
lara-p3-all,13,16.195,1.246,2.514,254.557
lara-p3-l1,1,2.388,2.388,0.371,254.964
lara-p3-l2,2,1.977,0.988,0.307,254.892
lara-p3-l3,2,1.928,0.964,0.299,254.977
lara-p4-all,10,4.133,0.413,0.642,254.806
lara-p4-l1,2,1.030,0.515,0.160,254.774
lara-p4-l2,2,1.073,0.536,0.167,255.000
lara-p4-l3,1,0.699,0.699,0.108,255.000
lara-p5-all,19,26.675,1.404,4.140,254.887
lara-p5-l1,1,3.680,3.680,0.571,254.991
lara-p5-l2,2,4.461,2.230,0.692,254.908
lara-p5-l3,1,2.731,2.731,0.424,254.963
lara-p6-all-1,45,36.089,0.802,5.602,254.490
lara-p6-all-2,21,8.087,0.385,1.255,254.714
lara-p6-l1,2,4.099,2.050,0.636,254.899
lara-p6-l2,1,3.191,3.191,0.495,254.987
lara-p6-l3,1,2.397,2.397,0.372,254.847
lara-p7-all,52,31.493,0.606,4.888,254.526
lara-p7-l1,1,3.107,3.107,0.482,254.938
lara-p7-l2,2,2.072,1.036,0.322,254.989
lara-p7-l3,2,1.448,0.724,0.225,254.964
lara-p8-all,11,6.281,0.571,0.975,254.729
lara-p8-l1,2,1.724,0.862,0.268,254.982
lara-p8-l2,1,1.722,1.722,0.267,254.918
lara-p8-l3,1,1.227,1.227,0.190,254.944
