Slice,Count,Total Area,Average Size,%Area,Mean
siga-p1-all,13,4.457,0.343,0.692,254.853
siga-p1-l1,1,1.632,1.632,0.253,254.882
siga-p1-l2,1,1.367,1.367,0.212,254.161
siga-p1-l3,1,1.006,1.006,0.156,254.664
siga-p2-all,45,22.897,0.509,3.554,254.734
siga-p2-l1,1,1.244,1.244,0.193,254.736
siga-p2-l2,1,2.119,2.119,0.329,254.972
siga-p2-l3,1,0.736,0.736,0.114,254.329
siga-p3-all,45,29.741,0.661,4.616,254.100
siga-p3-l1,1,2.104,2.104,0.327,254.857
siga-p3-l2,1,0.895,0.895,0.139,255.000
siga-p3-l3,3,2.922,0.974,0.454,254.780
siga-p4-all,73,39.971,0.548,6.204,254.718
siga-p4-l1,1,1.328,1.328,0.206,254.515
siga-p4-l2,1,0.987,0.987,0.153,254.944
siga-p4-l3,2,1.618,0.809,0.251,254.674
siga-p5-all,42,17.140,0.408,2.660,254.652
siga-p5-l1,1,1.400,1.400,0.217,254.948
siga-p5-l2,1,1.966,1.966,0.305,254.668
siga-p5-l3,1,0.532,0.532,0.083,254.175
siga-p6-all,32,20.418,0.638,3.169,254.693
siga-p6-l1,1,1.889,1.889,0.293,254.884
siga-p6-l2,1,0.831,0.831,0.129,254.038
siga-p6-l3,1,0.863,0.863,0.134,254.915
siga-p7-all,56,34.593,0.618,5.369,254.857
siga-p7-l1,1,2.031,2.031,0.315,254.971
siga-p7-l2,2,1.502,0.751,0.233,254.936
siga-p7-l3,1,1.421,1.421,0.221,254.916
siga-p8-all,12,4.505,0.375,0.699,254.836
siga-p8-l1,1,0.826,0.826,0.128,254.923
siga-p8-l2,1,0.781,0.781,0.121,254.971
siga-p8-l3,1,0.434,0.434,0.067,254.243
