Slice,Count,Total Area,Average Size,%Area,Mean
lara-p1-all,25,26.743,1.07,4.151,254.216
lara-p1-l1,1,3.148,3.148,0.489,254.84
lara-p1-l2,1,3.407,3.407,0.529,254.929
lara-p1-l3,1,2.19,2.19,0.34,254.939
lara-p2-all,30,21.558,0.719,3.346,254.454
lara-p2-l1,1,2.42,2.42,0.376,254.585
lara-p2-l2,1,2.202,2.202,0.342,254.643
lara-p2-l3,1,3.315,3.315,0.515,254.376
lara-p3-all,13,16.132,1.241,2.504,254.504
lara-p3-l1,1,2.324,2.324,0.361,254.532
lara-p3-l2,2,1.915,0.958,0.297,253.97
lara-p3-l3,2,1.867,0.933,0.29,254.588
lara-p4-all,10,3.983,0.398,0.618,254.892
lara-p4-l1,2,0.959,0.48,0.149,253.859
lara-p4-l2,2,1.029,0.514,0.16,254.871
lara-p4-l3,1,0.658,0.658,0.102,254.069
lara-p5-all,19,26.847,1.413,4.167,254.882
lara-p5-l1,1,3.596,3.596,0.558,254.986
lara-p5-l2,2,4.433,2.216,0.688,254.727
lara-p5-l3,1,2.629,2.629,0.408,254.802
lara-p6-all,45,35.422,0.787,5.498,254.769
lara-p6-all,21,7.905,0.376,1.227,254.745
lara-p6-l1,2,4.063,2.031,0.631,254.749
lara-p6-l2,1,3.138,3.138,0.487,254.812
lara-p6-l3,1,2.28,2.28,0.354,252.873
lara-p7-all,52,31.303,0.602,4.859,254.776
lara-p7-l1,1,3.033,3.033,0.471,252.887
lara-p7-l2,2,2.006,1.003,0.311,254.759
lara-p7-l3,2,1.368,0.684,0.212,254.767
lara-p8-all,11,6.233,0.567,0.967,254.635
lara-p8-l1,2,1.688,0.844,0.262,254.638
lara-p8-l2,1,1.67,1.67,0.259,254.064
lara-p8-l3,1,1.178,1.178,0.183,254.286
