Slice,Count,Total Area,Average Size,%Area,Mean
ACMO2_p1_l1.jpeg,1,9.681,9.681,1.833,254.640
ACMO2_p1_l2.jpeg,1,9.008,9.008,1.705,254.806
ACMO2_p1_l3.jpeg,3,8.834,2.945,1.673,254.469
ACMO2_p1_lvs.jpeg,20,86.097,4.305,16.300,253.679
ACMO2_p2_l1.jpeg,1,7.864,7.864,1.489,252.687
ACMO2_p2_l2.jpeg,1,6.520,6.520,1.234,254.750
ACMO2_p2_l3.jpeg,1,8.829,8.829,1.672,254.595
ACMO2_p2_lvs.jpeg,18,65.584,3.644,12.417,253.686
ACMO2_p3_l1.jpeg,1,4.621,4.621,0.875,254.702
ACMO2_p3_l2.jpeg,1,10.276,10.276,1.945,254.687
ACMO2_p3_l3.jpeg,2,9.697,4.849,1.836,253.441
ACMO2_p3_lvs.jpeg,20,80.329,4.016,15.208,251.932
ACMO2_p4_l1.jpeg,1,5.465,5.465,1.035,252.885
ACMO2_p4_l2.jpeg,1,4.098,4.098,0.776,254.280
ACMO2_p4_l3.jpeg,3,7.705,2.568,1.459,252.454
ACMO2_p4_lvs.jpeg,23,71.791,3.121,13.592,251.270
ACMO2_p5_l1.jpeg,1,8.645,8.645,1.637,254.853
ACMO2_p5_l2.jpeg,2,5.518,2.759,1.045,250.800
ACMO2_p5_l3.jpeg,1,8.309,8.309,1.573,253.034
ACMO2_p5_lvs.jpeg,27,68.064,2.521,12.886,252.849
ACMO2_p6_l1.jpeg,2,6.718,3.359,1.272,254.594
ACMO2_p6_l2.jpeg,2,6.302,3.151,1.193,254.195
ACMO2_p6_l3.jpeg,2,5.412,2.706,1.025,254.777
ACMO2_p6_lvs.jpeg,27,54.883,2.033,10.391,252.319
ACMO2_p7_l1.jpeg,1,3.980,3.980,0.754,254.633
ACMO2_p7_l2.jpeg,1,5.427,5.427,1.027,254.819
ACMO2_p7_l3.jpeg,1,6.017,6.017,1.139,250.885
ACMO2_p7_lvs.jpeg,13,42.232,3.249,7.995,254.121
ACMO2_p8_l1.jpeg,1,4.722,4.722,0.894,253.852
ACMO2_p8_l2.jpeg,1,6.936,6.936,1.313,254.680
ACMO2_p8_l3.jpeg,2,7.046,3.523,1.334,254.812
ACMO2_p8_lvs.jpeg,13,38.443,2.957,7.278,254.665
