Slice,Count,Total Area,Average Size,%Area,Mean
MIEL_p1_l1.jpeg,1,3.924,3.924,0.713,254.972
MIEL_p1_l2.jpeg,1,3.462,3.462,0.629,254.480
MIEL_p1_l3.jpeg,1,3.240,3.240,0.589,253.687
MIEL_p1_lvs.jpeg,14,22.197,1.586,4.034,254.931
MIEL_p2_l1.jpeg,3,3.924,1.308,0.713,254.754
MIEL_p2_l2.jpeg,1,2.532,2.532,0.460,254.915
MIEL_p2_l3.jpeg,3,4.041,1.347,0.734,253.225
MIEL_p2_lvs.jpeg,27,34.473,1.277,6.265,254.395
MIEL_p3_l1.jpeg,1,3.480,3.480,0.632,254.841
MIEL_p3_l2.jpeg,1,3.106,3.106,0.565,254.900
MIEL_p3_l3.jpeg,3,3.773,1.258,0.686,254.891
MIEL_p3_lvs.jpeg,19,29.840,1.571,5.423,254.383
MIEL_p4_l1.jpeg,2,5.258,2.629,0.956,254.997
MIEL_p4_l2.jpeg,1,3.007,3.007,0.546,253.663
MIEL_p4_l3.jpeg,1,4.289,4.289,0.779,254.993
MIEL_p4_lvs.jpeg,17,49.958,2.939,9.080,254.234
MIEL_p5_l1.jpeg,1,2.660,2.660,0.483,254.768
MIEL_p5_l2.jpeg,1,2.640,2.640,0.480,254.957
MIEL_p5_l3.jpeg,1,2.211,2.211,0.402,254.884
MIEL_p5_lvs.jpeg,13,17.221,1.325,3.130,254.717
MIEL_p6_l1.jpeg,1,1.576,1.576,0.286,254.875
MIEL_p6_l2.jpeg,1,1.267,1.267,0.230,254.520
MIEL_p6_l3.jpeg,1,1.414,1.414,0.257,254.829
MIEL_p6_lvs.jpeg,14,6.845,0.489,1.244,254.750
MIEL_p7_l1.jpeg,1,3.500,3.500,0.636,254.939
MIEL_p7_l2.jpeg,1,2.899,2.899,0.527,254.998
MIEL_p7_l3.jpeg,1,3.247,3.247,0.590,254.740
MIEL_p7_lvs.jpeg,13,21.817,1.678,3.965,254.699
