Slice,Count,Total Area,Average Size,%Area,Mean
anar-p1-all,62,36.354,0.586,5.596,254.778
anar-p2-all,32,14.182,0.443,2.183,254.813
anar-p3-all,76,41.123,0.541,6.33,254.667
anar-p4-all,71,23.532,0.331,3.622,254.973
anar-p5-all,60,16.41,0.274,2.526,254.907
anar-p6-all,60,26.506,0.442,4.08,254.951
anar-p7-all,109,32.529,0.298,5.007,254.908
anar-p8-all,77,24.901,0.323,3.833,254.284
anar-p1-l1,1,0.661,0.661,0.296,254.979
anar-p1-l2,1,1.174,1.174,0.526,254.953
anar-p1-l3,1,0.671,0.671,0.3,254.98
anar-p2-l1,1,0.792,0.792,0.355,255
anar-p2-l2,1,0.652,0.652,0.292,255
anar-p2-l3,1,0.611,0.611,0.273,255
anar-p3-l1,1,1.135,1.135,0.508,254.988
anar-p3-l2,1,1.439,1.439,0.644,254.994
anar-p3-l3,1,1.395,1.395,0.624,255
anar-p4-l1,1,1.137,1.137,0.509,255
anar-p4-l2,1,1.271,1.271,0.569,255
anar-p4-l3,1,0.488,0.488,0.218,254.981
anar-p5-l1,1,0.826,0.826,0.369,255
anar-p5-l2,1,0.789,0.789,0.353,254.994
anar-p5-l3,1,0.733,0.733,0.328,255
anar-p6-l1,1,1.128,1.128,0.505,255
anar-p6-l2,1,1.555,1.555,0.696,254.871
anar-p6-l3,1,0.657,0.657,0.294,254.937
anar-p7-l1,1,0.969,0.969,0.434,255
anar-p7-l2,1,0.77,0.77,0.345,255
anar-p7-l3,1,0.657,0.657,0.294,254.951
anar-p8-l1,1,0.626,0.626,0.28,255
anar-p8-l2,1,0.563,0.563,0.252,254.984
anar-p8-l3,1,0.499,0.499,0.223,255
