Slice,Count,Total Area,Average Size,%Area,Mean
ACMO_P1_ALL,19,11.168,0.588,1.853,254.664
ACMO_P1_L1,1,1.884,1.884,0.313,253.642
ACMO_P1_L2,1,1.481,1.481,0.246,254.972
ACMO_P1_L3,1,2.053,2.053,0.341,252.959
ACMO_P2_ALL,39,30.034,0.770,4.984,254.470
ACMO_P2_L1,1,1.176,1.176,0.195,254.981
ACMO_P2_L2,1,1.283,1.283,0.213,254.929
ACMO_P2_L3,1,1.866,1.866,0.310,254.804
ACMO_P3_ALL,48,34.707,0.723,5.759,254.650
ACMO_P3_L1,1,2.135,2.135,0.354,254.529
ACMO_P3_L2,1,2.399,2.399,0.398,254.960
ACMO_P3_L3,1,2.023,2.023,0.336,254.977
ACMO_P4_ALL,66,62.469,0.946,10.365,254.640
ACMO_P4_L1,1,2.742,2.742,0.455,254.972
ACMO_P4_L2,1,2.561,2.561,0.425,254.909
ACMO_P4_L3,1,2.044,2.044,0.339,254.794
ACMO_P5_ALL,61,39.578,0.649,6.567,254.803
ACMO_P5_L1,1,2.528,2.528,0.419,254.886
ACMO_P5_L2,1,2.214,2.214,0.367,254.973
ACMO_P5_L3,1,1.895,1.895,0.314,254.901
ACMO_P6_ALL,21,12.757,0.607,2.117,254.518
ACMO_P6_L1,2,3.018,1.509,0.501,254.665
ACMO_P6_L2,1,1.216,1.216,0.202,253.723
ACMO_P6_L3,1,1.363,1.363,0.226,254.085
ACMO_P7_ALL,24,15.428,0.643,2.560,254.758
ACMO_P7_L1,2,1.439,0.719,0.239,253.373
ACMO_P7_L2,1,1.063,1.063,0.176,255.000
ACMO_P7_L3,1,1.032,1.032,0.171,254.925
ACMO_P8_ALL,15,10.172,0.678,1.688,254.754
ACMO_P8_L1,1,1.582,1.582,0.263,254.827
ACMO_P8_L2,1,0.733,0.733,0.122,254.601
ACMO_P8_L3,1,1.018,1.018,0.169,255.000
