Slice,Count,Total Area,Average Size,%Area,Mean
AG2_P1_ALL,15,18.330,1.222,3.042,254.375
AG2_P1_L1,2,5.580,2.790,0.926,254.878
AG2_P1_L2,3,5.415,1.805,0.899,254.363
AG2_P1_L3,3,3.122,1.041,0.518,254.073
AG2_P2_ALL,14,21.951,1.568,3.642,254.536
AG2_P2_L1,2,3.398,1.699,0.564,253.099
AG2_P2_L2,2,3.713,1.857,0.616,254.308
AG2_P2_L3,2,4.080,2.040,0.677,254.733
AG2_P3_ALL,22,40.927,1.860,6.791,254.464
AG2_P3_L1,4,6.861,1.715,1.139,254.645
AG2_P3_L2,1,5.101,5.101,0.846,254.702
AG2_P3_L3,3,5.965,1.988,0.990,254.899
AG2_P4_ALL,17,14.259,0.839,2.366,254.386
AG2_P4_L1,1,3.300,3.300,0.548,254.410
AG2_P4_L2,3,4.289,1.430,0.712,254.568
AG2_P4_L3,1,2.807,2.807,0.466,254.897
AG2_P5_ALL,23,32.581,1.417,5.406,254.318
AG2_P5_L1,1,3.909,3.909,0.649,254.325
AG2_P5_L2,1,2.842,2.842,0.472,254.453
AG2_P5_L3,2,2.641,1.320,0.438,254.128
AG2_P6_ALL,15,35.218,2.348,5.844,254.165
AG2_P6_L1,3,7.521,2.507,1.248,254.287
AG2_P6_L2,1,6.019,6.019,0.999,254.221
AG2_P6_L3,2,4.938,2.469,0.819,254.760
AG2_P7_ALL,14,42.594,3.042,7.068,254.828
AG2_P7_L1,2,7.998,3.999,1.327,254.838
AG2_P7_L2,1,5.555,5.555,0.922,254.918
AG2_P7_L3,1,5.990,5.990,0.994,254.391
AG2_P8_ALL,17,25.858,1.521,4.291,254.479
AG2_P8_L1,3,5.295,1.765,0.879,254.832
AG2_P8_L2,1,3.002,3.002,0.498,254.750
AG2_P8_L3,1,5.764,5.764,0.957,254.963
