Slice,Count,Total Area,Average Size,%Area,Mean
AVBA_P1_ALL_LVS,34,25.347,0.746,4.206,254.790
AVBA_P1_L1,6,2.960,0.493,0.491,254.996
AVBA_P1_L2,5,5.228,1.046,0.867,254.985
AVBA_P1_L3,1,3.792,3.792,0.629,254.859
AVBA_P2_L1,1,6.270,6.270,1.040,254.992
AVBA_P2_L2,1,3.244,3.244,0.538,254.927
AVBA_P2_L3,1,6.980,6.980,1.158,253.798
AVBA_P3_L1,1,3.297,3.297,0.547,254.902
AVBA_P3_L2,2,3.598,1.799,0.597,254.901
AVBA_P3_L3,1,3.647,3.647,0.605,254.727
AVBA_P4_L1,1,5.354,5.354,0.888,254.718
AVBA_P4_L2,1,8.259,8.259,1.370,254.912
AVBA_P4_L3,1,6.897,6.897,1.144,254.846
AVBA_P5_L1,1,5.341,5.341,0.886,254.772
AVBA_P5_L2,1,6.288,6.288,1.043,254.916
AVBA_P5_L3,1,6.737,6.737,1.118,254.592
AVBA_P6_L1,1,5.080,5.080,0.843,254.960
AVBA_P6_L2,1,4.554,4.554,0.756,254.981
AVBA_P6_L3,1,3.874,3.874,0.643,254.988
AVBA_P7_L1,1,4.391,4.391,0.729,254.943
AVBA_P7_L2,1,5.676,5.676,0.942,254.983
AVBA_P7_L3,1,3.618,3.618,0.600,254.994
AVBA_P8_L1,1,6.304,6.304,1.046,254.807
AVBA_P8_L2,1,5.004,5.004,0.830,254.957
AVBA_P8_L3,1,4.022,4.022,0.667,254.945
