Slice,Count,Total Area,Average Size,%Area,Mean
BRDI_P1_ALL_LVS,23,91.194,3.965,16.472,254.242
BRDI_P1_L1,1,11.275,11.275,2.037,254.854
BRDI_P1_L2,1,11.766,11.766,2.125,254.870
BRDI_P1_L3,1,8.929,8.929,1.613,254.982
BRDI_P2_ALL_LVS,22,55.515,2.523,10.028,254.808
BRDI_P2_L1,3,9.827,3.276,1.775,254.997
BRDI_P2_L2,3,7.206,2.402,1.302,254.971
BRDI_P2_L3,2,6.174,3.087,1.115,254.971
BRDI_P3_ALL_LVS,32,138.412,4.325,25.001,254.726
BRDI_P3_L1,1,15.320,15.320,2.767,254.395
BRDI_P3_L2,3,13.056,4.352,2.358,254.858
BRDI_P3_L3,3,10.243,3.414,1.850,254.878
BRDI_P4_ALL_LVS,7,19.737,2.820,3.565,254.529
BRDI_P4_L1,3,5.909,1.970,1.067,254.932
BRDI_P4_L2,3,11.676,3.892,2.109,254.952
BRDI_P4_L3,3,7.442,2.481,1.344,254.795
BRDI_P5_ALL_LVS,29,132.243,4.560,23.887,254.896
BRDI_P5_L1,1,11.891,11.891,2.148,254.977
BRDI_P5_L2,2,10.287,5.144,1.858,254.992
BRDI_P5_L3,3,11.196,3.732,2.022,254.915
BRDI_P6_ALL_LVS,8,20.497,2.562,3.702,254.462
BRDI_P6_L1,3,8.289,2.763,1.497,254.247
BRDI_P6_L2,1,6.065,6.065,1.096,254.998
BRDI_P6_L3,2,12.158,6.079,2.196,254.658
BRDI_P7_ALL_LVS1,14,60.253,4.304,10.884,254.701
BRDI_P7_ALL_LVS2,25,90.487,3.619,16.345,254.620
BRDI_P7_L1,3,9.927,3.309,1.793,254.803
BRDI_P7_L2,2,11.882,5.941,2.146,254.996
BRDI_P7_L3,4,16.967,4.242,3.065,254.811
BRDI_P8_ALL_LVS,17,51.239,3.014,9.255,254.795
BRDI_P8_L1,1,9.983,9.983,1.803,254.962
BRDI_P8_L2,3,13.878,4.626,2.507,254.594
BRDI_P8_L3,3,9.882,3.294,1.785,254.789
