Slice,Count,Total Area,Average Size,%Area,Mean
ERMO_P1_L1,10,11.139,1.114,1.848,254.761
ERMO_P1_L2,10,9.869,0.987,1.638,254.728
ERMO_P1_L3,10,13.953,1.395,2.315,254.863
ERMO_P2_L1,10,17.766,1.777,2.948,254.699
ERMO_P2_L2,10,16.264,1.626,2.699,254.967
ERMO_P2_L3,10,10.693,1.069,1.774,254.952
ERMO_P3_L1,9,6.991,0.777,1.160,254.955
ERMO_P3_L2,9,8.978,0.998,1.490,254.977
ERMO_P3_L3,5,6.503,1.301,1.079,254.886
ERMO_P4_L1,9,9.835,1.093,1.632,254.789
ERMO_P4_L2,8,6.378,0.797,1.058,254.879
ERMO_P4_L3,9,3.483,0.387,0.578,254.978
ERMO_P5_L1,9,9.123,1.014,1.514,254.941
ERMO_P5_L2,10,4.749,0.475,0.788,254.993
ERMO_P5_L3,9,7.451,0.828,1.236,254.961
ERMO_P6_L1,12,12.901,1.075,2.141,254.974
ERMO_P6_L2,9,5.785,0.643,0.960,254.944
ERMO_P6_L3,8,5.560,0.695,0.923,254.473
ERMO_P7_L1,9,4.771,0.530,0.792,254.946
ERMO_P8_L1,10,6.445,0.645,1.069,254.749
