Slice,Count,Total Area,Average Size,%Area,Mean
ERMO_P1_L1,11,13.283,1.208,2.204,254.495
ERMO_P1_L2,11,11.067,1.006,1.836,254.545
ERMO_P1_L3,11,15.319,1.393,2.542,254.725
ERMO_P2_L1,11,19.713,1.792,3.271,254.678
ERMO_P2_L2,11,17.491,1.590,2.902,254.936
ERMO_P2_L3,11,11.605,1.055,1.926,254.907
ERMO_P3_L1,10,8.560,0.856,1.420,254.740
ERMO_P3_L2,10,10.866,1.087,1.803,254.944
ERMO_P3_L3,6,6.950,1.158,1.153,254.889
ERMO_P4_L1,10,11.354,1.135,1.884,254.771
ERMO_P4_L2,9,7.339,0.815,1.218,254.816
ERMO_P4_L3,10,3.943,0.394,0.654,254.797
ERMO_P5_L1,10,10.013,1.001,1.661,254.900
ERMO_P5_L2,11,5.158,0.469,0.856,254.849
ERMO_P5_L3,10,8.482,0.848,1.407,254.731
ERMO_P6_L1,13,14.510,1.116,2.408,254.890
ERMO_P6_L2,10,6.191,0.619,1.027,254.928
ERMO_P6_L3,9,6.047,0.672,1.003,254.323
ERMO_P7_L1,10,5.453,0.545,0.905,254.873
ERMO_P8_L1,11,7.020,0.638,1.165,254.578
