Slice,Count,Total Area,Average Size,%Area,Mean
LUBI_P1_L1,7,2.311,0.330,0.869,254.867
LUBI_P1_L2,6,1.933,0.322,0.727,254.790
LUBI_P1_L3,7,3.000,0.429,1.128,254.854
LUBI_P2_L1,9,1.668,0.185,0.627,254.366
LUBI_P2_L2,6,1.766,0.294,0.664,254.828
LUBI_P2_L3,9,3.143,0.349,1.182,254.892
LUBI_P3_L1,8,3.359,0.420,1.263,254.876
LUBI_P3_L2,6,3.356,0.559,1.262,254.851
LUBI_P3_L3,6,1.860,0.310,0.699,254.856
LUBI_P4_L1,7,2.289,0.327,0.861,254.860
LUBI_P4_L2,8,2.042,0.255,0.768,254.870
LUBI_P4_L3,1,1.174,1.174,0.442,254.907
LUBI_P5_L1,8,2.210,0.276,0.831,254.917
LUBI_P5_L2,7,2.131,0.304,0.801,254.847
LUBI_P5_L3,1,1.349,1.349,0.507,254.980
LUBI_P6_L1,7,3.407,0.487,1.281,254.887
LUBI_P6_L2,7,1.975,0.282,0.743,254.780
LUBI_P6_L3,8,2.720,0.340,1.023,254.815
