Slice,Count,Total Area,Average Size,%Area,Mean
TRAL_P1_all,125,42.845,0.343,7.109,254.861
TRAL_P2_all,23,3.876,0.169,0.643,254.706
TRAL_P3_all,3,0.927,0.309,0.154,250.408
TRAL_P4_all,33,13.96,0.423,2.316,254.74
TRAL_P5_all,9,1.997,0.222,0.331,254.921
TRAL_P6_all,6,1.772,0.295,0.294,254.886
TRAL_P7_all,6,3.385,0.564,0.562,254.977
TRAL_P8_all,29,7.829,0.27,1.299,254.657
TRAL_P2_3,3,0.665,0.222,0.666,254.663
TRAL_P4_3,3,2.759,0.92,2.76,254.951
TRAL_P5_3,3,2.057,0.686,2.058,254.985
TRAL_P6_3,3,0.813,0.271,0.813,254.92
TRAL_P7_3,3,2.254,0.751,2.255,254.984
TRAL_P8_3,3,1.01,0.337,1.01,254.612
TRAL_P1_3,3,2.216,0.739,9.96,254.948
TRAL_P2_1,3,0.38,0.127,0.224,254.502
TRAL_P3_1,3,1.024,0.341,0.601,254.965
TRAL_P4_1,3,1.099,0.366,0.646,254.84
TRAL_P5_1,3,1.832,0.611,1.076,254.879
TRAL_P6_1,3,0.39,0.13,0.229,254.738
TRAL_P7_1,3,0.484,0.161,0.284,254.885
TRAL_P8_1,3,0.949,0.316,0.557,254.981
TRAL_P1_1,3,1.422,0.474,4.455,254.997
TRAL_P2_2,3,1.268,0.423,3.079,254.902
TRAL_P4_2,3,2.92,0.973,7.089,254.951
TRAL_P5_2,3,0.667,0.222,1.62,254.707
TRAL_P6_2,3,0.905,0.302,2.198,254.893
TRAL_P7_2,3,0.617,0.206,1.498,254.602
TRAL_P8_2,3,1.124,0.375,2.73,254.973
TRAL_P1_2,3,1.356,0.452,6.158,254.935
TRAL_P3_2,3,0.905,0.302,4.188,254.945
