Slice,Count,Total Area,Average Size,%Area,Mean
748-chgl-p1-all,18,6.44,0.358,0.991,255
748-chgl-p1-l1,1,0.914,0.914,0.141,255
748-chgl-p1-l2,1,0.868,0.868,0.134,255
748-chgl-p1-l3,1,0.938,0.938,0.144,255
748-chgl-p2-all,59,25.433,0.431,3.915,255
748-chgl-p2-l1,1,1.158,1.158,0.178,255
748-chgl-p2-l2,1,1.064,1.064,0.164,255
748-chgl-p2-l3,1,0.594,0.594,0.091,255
748-chgl-p3-all,32,18.708,0.585,2.88,255
748-chgl-p3-l1,1,1.532,1.532,0.236,255
748-chgl-p3-l2,1,1.648,1.648,0.254,255
748-chgl-p3-l3,1,1.68,1.68,0.259,255
748-chgl-p4-all,53,26.267,0.496,4.043,255
748-chgl-p4-l1,1,1.645,1.645,0.253,255
748-chgl-p4-l2,1,0.457,0.457,0.07,255
748-chgl-p4-l3,1,0.407,0.407,0.063,255
748-chgl-p5-all,31,12.805,0.413,1.971,255
748-chgl-p5-l1,1,1.145,1.145,0.176,255
748-chgl-p5-l2,1,0.989,0.989,0.152,255
748-chgl-p5-l3,1,0.87,0.87,0.134,255
748-chgl-p6-all,16,4.578,0.286,0.705,255
748-chgl-p6-l1,1,1.03,1.03,0.158,255
748-chgl-p6-l2-b,4,0.73,0.183,0.112,255
748-chgl-p6-l3,1,0.461,0.461,0.071,255
748-chgl-p7-all,79,65.93,0.835,10.148,255
748-chgl-p7-l1,1,1.504,1.504,0.231,255
748-chgl-p7-l2,1,1.262,1.262,0.194,255
748-chgl-p7-l3,1,1.105,1.105,0.17,255
748-chgl-p8-all,15,5.271,0.351,0.811,255
748-chgl-p8-l1,1,0.701,0.701,0.108,255
748-chgl-p8-l2,1,0.469,0.469,0.072,255
748-chgl-p8-l3,1,0.854,0.854,0.131,255
