Slice,Count,Total Area,Average Size,%Area,Mean
gilia-p1-all,33,13.666,0.414,2.104,251.377
gilia-p1-l1,1,0.838,0.838,0.129,251.953
gilia-p1-l2,1,0.844,0.844,0.130,251.205
gilia-p1-l3,1,0.790,0.790,0.122,249.808
gilia-p2-all,53,26.922,0.508,4.144,252.914
gilia-p2-l1,1,1.733,1.733,0.267,254.626
gilia-p2-l2,1,1.426,1.426,0.219,254.571
gilia-p2-l3,1,1.815,1.815,0.279,251.225
gilia-p3-all,40,23.099,0.577,3.555,248.202
gilia-p3-l1,1,1.461,1.461,0.225,250.422
gilia-p3-l2,1,2.084,2.084,0.321,249.488
gilia-p3-l3,1,1.431,1.431,0.220,248.321
gilia-p4-all,61,27.736,0.455,4.269,250.475
gilia-p4-l1,1,1.943,1.943,0.299,251.618
gilia-p4-l2,1,1.700,1.700,0.262,244.845
gilia-p4-l3,1,1.636,1.636,0.252,247.686
gilia-p5-all,56,23.888,0.427,3.677,251.513
gilia-p5-l1,2,1.525,0.763,0.235,254.655
gilia-p5-l2,2,1.735,0.867,0.267,254.571
gilia-p5-l3,2,1.910,0.955,0.294,254.939
gilia-p6-all,33,26.065,0.790,4.012,253.006
gilia-p6-l1,2,1.848,0.924,0.284,254.661
gilia-p6-l2,2,1.559,0.779,0.240,254.858
gilia-p6-l3,2,1.821,0.911,0.280,254.789
gilia-p7-all,45,28.753,0.639,4.426,249.903
gilia-p7-l1,2,2.603,1.302,0.401,243.505
gilia-p7-l2,2,2.141,1.070,0.330,252.814
gilia-p7-l3,2,2.264,1.132,0.348,249.979
gilia-p8-all,35,19.219,0.549,2.958,253.058
gilia-p8-l1,1,1.468,1.468,0.226,252.251
gilia-p8-l2,7,1.094,0.156,0.168,252.401
gilia-p8-l3,1,1.047,1.047,0.161,254.188
