Slice,Count,Total Area,Average Size,%Area,Mean
lebo-p1-all,39,37.673,0.966,5.799,247.674
lebo-p1-l1,2,2.381,1.190,0.366,253.699
lebo-p1-l2,1,3.018,3.018,0.465,232.463
lebo-p1-l3,1,1.113,1.113,0.171,254.988
lebo-p2-all,29,17.453,0.602,2.686,251.696
lebo-p2-l1,2,1.807,0.904,0.278,243.847
lebo-p2-l2,2,1.561,0.781,0.240,254.998
lebo-p2-l3,2,1.047,0.523,0.161,254.951
lebo-p3-all,32,20.134,0.629,3.099,251.863
lebo-p3-l1,1,1.795,1.795,0.276,254.964
lebo-p3-l2,1,1.572,1.572,0.242,254.994
lebo-p3-l3,1,1.302,1.302,0.200,254.986
lebo-p4-all,19,12.528,0.659,1.928,252.310
lebo-p4-l1,3,2.407,0.802,0.371,254.561
lebo-p4-l2,2,2.218,1.109,0.341,254.986
lebo-p4-l3,4,1.270,0.317,0.195,254.938
lebo-p5-all,56,55.529,0.992,8.547,250.707
lebo-p5-l1,4,2.050,0.513,0.316,254.992
lebo-p5-l2,1,2.555,2.555,0.393,254.998
lebo-p5-l3,3,1.386,0.462,0.213,244.540
lebo-p6-all-1,47,47.729,1.016,7.347,250.896
lebo-p6-all-2,51,55.426,1.087,8.531,251.843
lebo-p6-l1,4,2.226,0.556,0.343,250.756
lebo-p6-l2,1,1.346,1.346,0.207,254.993
lebo-p6-l3,1,1.301,1.301,0.200,254.979
lebo-p7-all,21,15.485,0.737,2.384,247.982
lebo-p7-l1,1,2.258,2.258,0.347,254.996
lebo-p7-l2,1,1.350,1.350,0.208,255.000
lebo-p7-l3,1,1.106,1.106,0.170,255.000
lebo-p8-all,41,51.096,1.246,7.865,250.596
lebo-p8-l1,1,2.612,2.612,0.402,254.995
lebo-p8-l2,1,3.908,3.908,0.601,237.850
lebo-p8-l3,1,1.417,1.417,0.218,254.994
