Slice,Count,Total Area,Average Size,%Area,Mean
GAAP_P1_2,3,1.376,0.459,1.39,254.993
GAAP_P2_2,3,2.716,0.905,2.743,254.532
GAAP_P3_2,4,2.038,0.51,2.059,254.917
GAAP_P4_2,3,1.485,0.495,1.5,254.981
GAAP_P5_2,3,1.643,0.548,1.659,254.927
GAAP_P6_2,3,2.648,0.883,2.675,254.993
GAAP_P8_2,3,1.402,0.467,1.416,254.977
GAAP_P1_3,3,1.827,0.609,2.5,254.998
GAAP_P2_3,3,1.624,0.541,2.223,254.983
GAAP_P3_3,3,1.599,0.533,2.188,254.991
GAAP_P4_3,3,0.697,0.232,0.953,254.976
GAAP_P5_3,3,1.137,0.379,1.556,254.997
GAAP_P6_3,3,1.355,0.452,1.855,254.945
GAAP_P8_3,3,0.733,0.244,1.003,254.972
GAAP_P1_1,3,2.909,0.97,2.972,254.988
GAAP_P2_1,3,3.425,1.142,3.499,254.89
GAAP_P3_1,3,1.832,0.611,1.871,254.948
GAAP_P4_1,3,1.706,0.569,1.742,254.971
GAAP_P5_1,3,1.786,0.595,1.824,254.941
GAAP_P6_1,3,2.574,0.858,2.63,254.975
GAAP_P8_1,3,1.812,0.604,1.852,254.993
