Slice,Count,Total Area,Average Size,%Area,Mean
TOAR_P1_L1,9,16.516,1.835,2.740,251.889
TOAR_P1_L2,9,6.605,0.734,1.096,253.944
TOAR_P1_L3,9,4.189,0.465,0.695,254.911
TOAR_P2_L1,12,17.090,1.424,2.836,250.759
TOAR_P2_L2,10,7.431,0.743,1.233,253.991
TOAR_P2_L3,9,13.230,1.470,2.195,251.987
TOAR_P3_L1,11,22.123,2.011,3.671,252.901
TOAR_P3_L2,9,13.815,1.535,2.292,253.175
TOAR_P3_L3,11,32.669,2.970,5.421,251.940
TOAR_P4_L1,9,18.657,2.073,3.096,252.079
TOAR_P4_L2,12,8.276,0.690,1.373,253.706
TOAR_P4_L3,12,13.226,1.102,2.195,253.368
TOAR_P5_L1,14,26.196,1.871,4.347,253.681
TOAR_P5_L2,11,22.469,2.043,3.728,250.245
TOAR_P5_L3,11,12.689,1.154,2.105,254.536
TOAR_P6_L1,17,16.646,0.979,2.762,253.614
TOAR_P6_L2,14,20.194,1.442,3.351,251.539
TOAR_P6_L3,13,12.073,0.929,2.003,254.333
TOAR_P7_L1,16,20.763,1.298,3.445,253.493
TOAR_P7_L2,23,30.639,1.332,5.084,253.342
TOAR_P7_L3,14,13.063,0.933,2.168,254.173
TOAR_P8_L1,13,13.620,1.048,2.260,254.040
TOAR_P8_L2,9,8.398,0.933,1.393,253.757
TOAR_P8_L3,19,21.374,1.125,3.547,254.088
