Slice,Count,Total Area,Average Size,%Area,Mean
clpe-p1-all-bracts,4,49.809,12.452,7.667,254.904
clpe-p1-all-leaves,5,27.830,5.566,4.284,253.997
clpe-p1-l1,1,21.617,21.617,3.327,254.907
clpe-p1-l2,1,18.611,18.611,2.865,254.924
clpe-p1-l3,1,10.000,10.000,1.539,254.994
clpe-p2-all-bracts,8,56.516,7.065,8.699,254.916
clpe-p2-all-leaves,1,7.695,7.695,1.184,254.857
clpe-p2-l1,2,9.597,4.798,1.477,254.999
clpe-p2-l2,2,12.462,6.231,1.918,255.000
clpe-p2-l3,2,7.436,3.718,1.145,254.964
clpe-p3-all-bracts,6,83.396,13.899,12.837,254.938
clpe-p3-all-leaves,5,44.619,8.924,6.868,254.741
clpe-p3-l1,1,17.791,17.791,2.738,254.997
clpe-p3-l2,1,6.072,6.072,0.935,254.995
clpe-p3-l3,1,4.780,4.780,0.736,254.980
clpe-p4-all-bracts,4,19.208,4.802,2.956,254.955
clpe-p4-all-leaves,1,2.029,2.029,0.312,250.849
clpe-p4-l1,1,8.212,8.212,1.264,254.989
clpe-p4-l2,1,4.548,4.548,0.700,254.998
clpe-p4-l3,1,1.887,1.887,0.290,254.988
clpe-p5-all-bracts,7,23.850,3.407,3.671,254.941
clpe-p5-all-leaves,4,21.601,5.400,3.325,254.961
clpe-p5-l1,1,9.443,9.443,1.454,255.000
clpe-p5-l2,1,9.698,9.698,1.493,254.999
clpe-p5-l3,1,6.016,6.016,0.926,255.000
clpe-p6-all-bracts,5,61.320,12.264,9.439,251.652
clpe-p6-all-leaves,3,20.789,6.930,3.200,254.844
clpe-p6-l1,2,11.273,5.636,1.735,254.975
clpe-p6-l2,1,13.172,13.172,2.027,254.955
clpe-p6-l3,1,4.417,4.417,0.680,254.994
clpe-p7-all-bracts,7,55.175,7.882,8.493,254.060
clpe-p7-all-leaves,3,22.233,7.411,3.422,254.158
clpe-p7-l1,1,13.452,13.452,2.071,254.283
clpe-p7-l2,1,8.351,8.351,1.285,255.000
clpe-p7-l3,1,6.163,6.163,0.949,254.972
clpe-p8-all-bracts,5,50.122,10.024,7.715,254.474
clpe-p8-all-leaves,3,13.919,4.640,2.142,253.745
clpe-p8-l1,1,18.787,18.787,2.892,254.992
clpe-p8-l2,2,12.697,6.348,1.954,254.971
clpe-p8-l3,1,12.813,12.813,1.972,254.978
