Slice,Count,Total Area,Average Size,%Area,Mean
clpe-p1-all-bracts,4,49.809,12.452,7.667,254.904
clpe-p1-all-leaves,15,38.188,2.546,5.878,253.114
clpe-p1-l1,3,25.432,8.477,3.915,252.926
clpe-p1-l2,4,22.426,5.607,3.452,254.365
clpe-p1-l3,5,12.532,2.506,1.929,250.876
clpe-p2-all-bracts,8,56.516,7.065,8.699,254.916
clpe-p2-all-leaves,5,12.043,2.409,1.854,253.342
clpe-p2-l1,4,11.390,2.847,1.753,254.171
clpe-p2-l2,4,14.913,3.728,2.295,254.727
clpe-p2-l3,4,8.970,2.243,1.381,253.004
clpe-p3-all-bracts,6,83.396,13.899,12.837,254.938
clpe-p3-all-leaves,14,62.513,4.465,9.622,253.581
clpe-p3-l1,3,21.070,7.023,3.243,254.690
clpe-p3-l2,3,7.600,2.533,1.170,254.623
clpe-p3-l3,3,5.905,1.968,0.909,253.071
clpe-p4-all-bracts,4,19.208,4.802,2.956,254.955
clpe-p4-all-leaves,6,7.167,1.194,1.103,243.613
clpe-p4-l1,4,9.981,2.495,1.536,252.618
clpe-p4-l2,3,5.829,1.943,0.897,254.740
clpe-p4-l3,3,2.479,0.826,0.382,253.902
clpe-p5-all-bracts,7,23.850,3.407,3.671,254.941
clpe-p5-all-leaves,9,29.439,3.271,4.531,254.052
clpe-p5-l1,3,11.279,3.760,1.736,254.116
clpe-p5-l2,3,11.642,3.881,1.792,254.120
clpe-p5-l3,3,7.346,2.449,1.131,253.516
clpe-p6-all-bracts,5,61.320,12.264,9.439,251.652
clpe-p6-all-leaves,8,33.511,4.189,5.158,252.305
clpe-p6-l1,4,13.174,3.293,2.028,251.529
clpe-p6-l2,5,15.984,3.197,2.460,253.473
clpe-p6-l3,3,5.638,1.879,0.868,251.174
clpe-p7-all-bracts,8,55.211,6.901,8.498,253.475
clpe-p7-all-leaves,10,31.701,3.170,4.880,251.681
clpe-p7-l1,3,16.227,5.409,2.498,251.681
clpe-p7-l2,3,10.095,3.365,1.554,250.268
clpe-p7-l3,3,7.418,2.473,1.142,251.663
clpe-p8-all-bracts,5,50.122,10.024,7.715,254.474
clpe-p8-all-leaves,6,19.057,3.176,2.933,252.330
clpe-p8-l1,3,22.110,7.370,3.403,254.917
clpe-p8-l2,4,15.239,3.810,2.346,253.744
clpe-p8-l3,4,15.375,3.844,2.367,253.943
