Slice,Count,Total Area,Average Size,%Area,Mean
gedis_1_1,4,5.864,1.466,1.395,254.960
gedis_1_2,4,4.458,1.115,1.060,251.654
gedis_1_3,2,7.633,3.816,1.815,249.728
gedis_1_all,6,13.246,2.208,3.151,251.868
gedis_2_1,1,2.195,2.195,0.522,254.931
gedis_2_2,1,4.182,4.182,0.995,254.463
gedis_2_3,2,3.838,1.919,0.913,254.295
gedis_2_all,23,15.769,0.686,3.751,254.390
gedis_3_1,1,8.072,8.072,1.920,248.978
gedis_3_2,1,6.765,6.765,1.609,253.902
gedis_3_3,2,3.745,1.872,0.891,252.535
gedis_3_all,20,31.461,1.573,7.483,252.978
gedis_4_1,2,6.803,3.402,1.618,254.986
gedis_4_2,4,7.575,1.894,1.802,254.961
gedis_4_3,4,4.003,1.001,0.952,254.921
gedis_4_all,38,36.388,0.958,8.655,254.822
gedis_5_1,7,6.909,0.987,1.643,253.198
gedis_5_2,1,4.280,4.280,1.018,254.321
gedis_5_3,7,6.024,0.861,1.433,254.103
gedis_5_all,55,37.091,0.674,8.822,254.481
