Slice,Count,Total Area,Average Size,%Area,Mean
ERSP_1_all.jpeg,9,5.891,0.655,0.977,254.127
ERSP_2_all.jpeg,5,2.935,0.587,0.486,252.13
ERSP_3_all.jpeg,12,7.04,0.587,1.167,252.105
ERSP_4_all.jpeg,13,7.926,0.61,1.314,254.595
ERSP_5_all.jpeg,6,4.234,0.706,0.702,254.556
ERSP_6_all.jpeg,3,2.171,0.724,0.36,228.955
ERSP_1_l1.jpeg,1,1.2,1.2,1.019,254.931
ERSP_2_l1.jpeg,1,1.013,1.013,0.861,254.946
ERSP_3_l1.jpeg,1,1.552,1.552,1.319,254.823
ERSP_4_l1.jpeg,1,2.429,2.429,2.064,254.942
ERSP_5_l1.jpeg,1,1.424,1.424,1.211,241.127
ERSP_6_l1.jpeg,1,1.846,1.846,1.569,254.7
ERSP_1_l2.jpeg,1,1.372,1.372,1.392,251.619
ERSP_2_l2.jpeg,1,1.278,1.278,1.297,252.121
ERSP_3_l2.jpeg,1,1.135,1.135,1.151,254.303
ERSP_4_l2.jpeg,1,3.322,3.322,3.37,254.994
ERSP_5_l2.jpeg,1,1.337,1.337,1.357,254.904
ERSP_6_l2.jpeg,1,1.891,1.891,1.919,254.94
ERSP_1_l3.jpeg,1,1.3,1.3,0.782,254.947
ERSP_2_l3.jpeg,1,1.191,1.191,0.716,254.881
ERSP_3_l3.jpeg,1,1.427,1.427,0.859,253.361
ERSP_4_l3.jpeg,1,2.654,2.654,1.597,254.978
ERSP_5_l3.jpeg,1,1.068,1.068,0.643,250.094
ERSP_6_l3.jpeg,1,1.746,1.746,1.051,254.911
