Slice,Count,Total Area,Average Size,%Area,Mean
TRLA_2_all.jpeg,63,60.404,0.959,10.013,254.582
TRLA_3_all.jpeg,51,43.221,0.847,7.165,254.693
TRLA_4_all.jpeg,40,34.567,0.864,5.73,254.386
TRLA_5_all.jpeg,53,32.627,0.616,5.409,254.51
TRLA_8_all.jpeg,43,23.451,0.545,3.888,254.449
TRLA_1_l1.jpeg,1,4.167,4.167,4.557,254.975
TRLA_2_l1.jpeg,1,3.567,3.567,3.901,254.968
TRLA_3_l1.jpeg,1,3.397,3.397,3.716,254.992
TRLA_4_l1.jpeg,1,3.209,3.209,3.509,254.973
TRLA_5_l1.jpeg,1,1.909,1.909,2.088,254.988
TRLA_6_l1.jpeg,1,2.363,2.363,2.584,254.861
TRLA_7_l1.jpeg,1,2.121,2.121,2.32,254.998
TRLA_8_l1.jpeg,1,1.289,1.289,1.409,254.954
TRLA_1_l2.jpeg,1,3.966,3.966,3.159,254.986
TRLA_2_l2.jpeg,1,2.759,2.759,2.198,254.99
TRLA_3_l2.jpeg,1,2.987,2.987,2.379,254.957
TRLA_4_l2.jpeg,1,3.574,3.574,2.847,254.99
TRLA_5_l2.jpeg,1,2.517,2.517,2.005,254.858
TRLA_6_l2.jpeg,1,4.793,4.793,3.818,254.826
TRLA_7_l2.jpeg,1,1.176,1.176,0.936,254.992
TRLA_8_l2.jpeg,1,1.483,1.483,1.181,254.969
TRLA_1_l3.jpeg,1,4.586,4.586,3.244,255
TRLA_2_l3.jpeg,1,3.215,3.215,2.274,254.999
TRLA_3_l3.jpeg,1,1.629,1.629,1.152,254.997
TRLA_4_l3.jpeg,1,2.265,2.265,1.602,254.98
TRLA_5_l3.jpeg,1,2.824,2.824,1.998,254.848
TRLA_6_l3.jpeg,1,1.984,1.984,1.404,254.991
TRLA_7_l3.jpeg,1,1.407,1.407,0.995,255
TRLA_8_l3.jpeg,1,1.166,1.166,0.825,254.957
