USDA_symbol,leaf_size(cm2),SLA (g/cm2),LDMC(mg/g),LAI (LA/canopy_area),LAR(cm2/g),seed_mass(g),max_height(cm),SRL(m/g),relative_spread(lateral/height),phenology (DOY 50% fruit),foliar_N,CN_ratio,d13C,d15N,notes,seed_mass_data_source,max_height_data_source
ACMO2,1.7281666666666666,224.28074968300712,138.3333774380631,1.851879929215048,61.5310707392183,0.003933333333333333,26.3,61.74407445150797,0.2287563492678582,99,2.71,19.132841328413285,-30.12,0.78,,2017,2017
AGHE2,4.7119583333333335,319.9754249891716,154.93773190005982,1.6202777361881784,140.27309643983907,3.6666666666666667e-4,25.049999999999997,NA,0.34254913263065434,108,2.45,16.824489795918364,-30.8,-0.17,,2017,2017
ANAR,0.878125,316.89095853600423,179.53883847304016,1.4973576830370394,168.0067137738085,3.6e-4,22.5,74.8045674690551,0.8421266233766234,NA,2.14,20.623831775700936,-29.009999999999998,3.9050000000000002,,2017,MOLINARI
AVBA,4.9556249999999995,186.5085099418201,315.54396095103914,0.5150076990922527,21.6444554280679,0.008112479714285714,106.05,35.83542206920482,0.14374824612241724,101,1.7366666666666666,23.979339374076215,-28.333333333333332,-1.76,,BIEN,2017
AVFA,9.457208333333334,216.13845111253102,243.07682177432503,0.7960272467601051,35.14628458639559,0.0074800000000000005,123.39999999999998,36.25648864358175,0.26067340340882067,106,2,17.895,-29.35,3.37,,MOLINARI,2017
BOIN3,2.7445833333333334,549.6384708762624,151.56875717228283,0.0371747357253439,109.54113873648697,9.766666666666667e-4,49.19999999999999,179.52441252675933,NaN,NA,2.29,15.47598253275109,-30.21,-0.88,,2017,2017
BRDI3,10.42125,254.31294576119558,271.45053661558603,0.45008957387932613,38.75824662792884,0.0154,54.19999999999999,45.718551151653486,0.3153620587058313,108,2.37,17.82278481012658,-27.75,3.07,,MOLINARI,2017
BRHO2,3.0164583333333335,284.83926767833526,247.82230272906355,1.4946774253759592,81.55881455801915,0.00325,58.05,129.6865091221618,0.24673461277882008,112,2.18,18.362385321100916,-30.02,6.41,,MOLINARI,2017
CACO35,2.159,181.64775727734792,226.40375537092126,0.4224670977311768,116.26573033671113,0.024220199999999997,19.049999999999997,31.038397274194338,2.207178932178932,NA,2.51,17.350597609561753,-29.91,1.2,,BIEN(avg. of 6 Calystegia sp.),2017
CAPY2,27.214076923076924,308.8531703989904,138.0857495477811,0.6444423658983065,66.58603561195608,0.004873333333333333,161.29999999999993,NaN,0.31169318297789655,144,2.73,14.956043956043956,-30.74,-2.89,,2017,2017
CHPA8,5.26975,163.13270281448553,168.1191410232219,0.45516487399203426,88.94401301582042,NA,18.65,67.06172774377322,1.1534173976608186,NA,NA,NA,NA,NA,,NA,2017
CHPO3,30.794333333333334,159.40225095634952,189.80361147766968,0.34262820346641165,215.8624116131938,0.00873,25.049999999999997,NA,0.9836347429683776,NA,2.33,19.21030042918455,-27.89,0.06,,MOLINARI,2017
CLPE,10.365833333333333,544.2327563852463,41.48501941720187,NaN,509.3518839812683,7.999999999999999e-4,25,NA,NaN,80,3.8899999999999997,10.009086703674333,-32.275000000000006,-4.165,,2017,2017
CRSE11,3.358041666666667,139.1373672070205,325.2391565774978,0.6961602141022948,162.12821510530395,0.007940000000000001,7,NA,2.716666666666667,NA,2.6950000000000003,15.813012887591562,-28.005,0.735,,MOLINARI,2017
DICA14,NaN,NaN,NaN,NA,NA,NA,48.3,NA,NA,NA,NA,NA,NA,NA,,NA,MOLINARI
DOCL,5.583130434782609,219.49839518773697,116.86709582274844,0.766535673508391,79.25149333014,9.8e-4,33.24999999999999,NA,0.40177421210029907,NA,2.7,15.399999999999999,-29.93,-1.36,,2017,2017
ERMO7,8.95485,279.5840856112929,242.3606553407162,NA,NA,0.00164,31.299999999999983,NA,NA,118,4.27,9.152224824355972,-30.25,1.21,,2017,2017
FEMY2,1.2206521739130434,278.77804511375143,259.26861011443316,0.3625756573957639,49.3482483000983,3.3329999999999997e-4,37.5,137.81990245030875,0.23507832080200503,102,2.54,16.427165354330707,-30.985,2.66,,MOLINARI,MOLINARI
GAAP2,1.8249523809523809,505.15113851049824,156.50276980431317,0.12983966602576308,128.0165558222996,0.003940909090909091,74,71.79320665991693,NaN,NA,2.7,14.951851851851849,-28.12,-1.31,,2017,2017
GIOC,1.6306666666666667,158.2750993898674,136.74851977625116,NaN,73.72332615591498,8.883333333333334e-4,16.049999999999997,178.76826924015745,NaN,89,1.35,31.711111111111112,-29.89,-2.03,LA with petiole,2017,2017
