round,plant_id,species,habitat,height,length,width,leaf_n,flower_n
1,1,SACO,,2,8.5,6,10,
1,2,SACO,,4,7,4,12,
1,3,SACO,,5,6,3.5,12,
1,4,SACO,,1,8,7.5,10,
1,5,SACO,,,,,,
1,6,SACO,,1.5,1.5,1,6,
1,7,SACO,,,,,,
1,8,SACO,,2,1.5,1,6,
1,9,SACO,,1,1.5,1,6,
1,10,HECO,,3.5,2.5,2.5,8,
1,11,LOWR,,1.5,2,1.5,7,
1,12,HECO,Swamp,9,18,13.5,13,
1,13,HECO,Swamp,7,9,5,,
1,14,HECO,Swamp,7,10,7,8,
1,15,HECO,Swamp,8,7,6,8,
1,16,HECO,Road,,,,7,
1,17,HECO,Road,2,1.5,0.5,6,
1,18,HECO,Road,3.5,2,2.5,6,
1,19,HECO,Road,8,8,6,19,
1,20,HECO,Road,7,6,6,12,
1,21,HECO,Road,,5,4,8,
1,22,LACA,,5.5,,,8,1
1,23,LACA,,6,0.5,2,10,1
1,24,LACA,,5,0.5,0.1,6,1
1,25,LACA,,14,3,4,18,5
1,26,LACA,,7,4,1,12,1
1,27,LACA,,4,0.5,0.5,6,1
1,28,PLER,w/ LACA,3.5,1,1,7,1
1,29,PLER,w/ LACA,6,3,2,,1
1,30,PLER,w/ LACA,6.5,2.5,2,9,1
1,31,PLER,w/ PLER,6,3,2,8,1
1,32,PLER,w/ PLER,2.5,2,0.5,8,1
1,33,PLER,w/ PLER,6,1.5,1.5,6,1
