round,species,plant_id,tissue,weight
2,AGHE,1,f,0.00231
2,AGHE,1,l,0.20477
2,AGHE,1,r,0.05602
2,AGHE,1,s,0.04471
2,AGHE,2,f,0.00271
2,AGHE,2,l,0.0158
2,AGHE,2,r,0.00449
2,AGHE,2,s,0.00378
2,AGHE,3,f,0.00061
2,AGHE,3,l,0.06087
2,AGHE,3,r,0.0131
2,AGHE,3,s,0.00823
2,AGHE,4,l,0.04845
2,AGHE,4,r,0.01082
2,AGHE,4,s,0.00882
2,AGHE,5,f,0.01438
2,AGHE,5,l,0.02864
2,AGHE,5,r,0.0116
2,AGHE,5,s,0.00996
2,AGHE,6,l,0.11808
2,AGHE,6,r,0.02129
2,AGHE,6,s,0.01969
2,AGHE,7,f,0.00106
2,AGHE,7,l,0.17747
2,AGHE,7,r,0.0454
2,AGHE,7,s,0.03093
2,AGHE,8,f,0.00073
2,AGHE,8,l,0.08619
2,AGHE,8,r,0.0173
2,AGHE,8,s,0.01087
2,AGHE,9,f,0.00873
2,AGHE,9,l,0.04229
2,AGHE,9,r,0.0145
2,AGHE,9,s,0.02076
2,EUSP,1,l,0.01851
2,EUSP,1,r,0.00513
2,EUSP,1,s,0.00325
2,EUSP,2,l,0.01958
2,EUSP,2,r,0.0092
2,EUSP,2,s,0.00445
2,EUSP,3,l,0.01719
2,EUSP,3,r,0.00802
2,EUSP,3,s,0.00166
2,EUSP,4,l,0.04633
2,EUSP,4,r,0.01569
2,EUSP,4,s,0.01092
2,EUSP,5,l,0.03584
2,EUSP,5,r,0.01281
2,EUSP,5,s,0.00871
2,EUSP,6,l,0.03213
2,EUSP,6,r,0.01349
2,EUSP,6,s,0.00827
2,HECO,1,l,0.0661
2,HECO,1,r,0.027
2,HECO,1,s,0.00332
2,HECO,2,l,0.34699
2,HECO,2,r,0.1039
2,HECO,2,s,0.00459
2,HECO,3,l,0.18574
2,HECO,3,r,0.06419
2,HECO,3,s,0.00335
2,HECO,4,l,0.0157
2,HECO,4,r,0.00531
2,HECO,5,l,0.14249
2,HECO,5,s,0.00907
2,HECO,6,l,0.02064
2,HECO,6,s,0.00099
2,HECO,7,l,0.24628
2,HECO,7,s,0.00642
2,LACA,1,f,0.01552
2,LACA,1,l,0.03916
2,LACA,1,r,0.02302
2,LACA,1,s,0.05152
2,LACA,2,f,0.00751
2,LACA,2,l,0.01808
2,LACA,2,r,0.00601
2,LACA,2,s,0.01197
2,LACA,3,f,0.07548
2,LACA,3,l,0.19094
2,LACA,3,r,0.05082
2,LACA,3,s,0.21756
2,LACA,4,f,0.00328
2,LACA,4,l,0.01216
2,LACA,4,r,0.00754
2,LACA,4,s,0.01841
2,LACA,5,f,0.03882
2,LACA,5,l,0.10211
2,LACA,5,r,0.0347
2,LACA,5,s,0.09372
2,LACA,6,f,0.01912
2,LACA,6,l,0.10058
2,LACA,6,r,0.02979
2,LACA,6,s,0.1121
2,LACA,7,f,0.00176
2,LACA,7,l,0.00441
2,LACA,7,r,0.00359
2,LACA,7,s,0.00574
2,LACA,8,f,0.00483
2,LACA,8,l,0.00565
2,LACA,8,r,0.00371
2,LACA,8,s,0.00893
2,LACA,9,f,0.00545
2,LACA,9,l,0.01216
2,LACA,9,r,0.00573
2,LACA,9,s,0.01159
2,LACA,10,f,0.00557
2,LACA,10,l,0.00875
2,LACA,10,r,0.00636
2,LACA,10,s,0.01076
2,LOWR,1,l,0.0496
2,LOWR,1,s,0.01141
2,LOWR,1,r,0.01666
2,LOWR,2,l,0.03275
2,LOWR,2,s,0.01064
2,LOWR,2,r,0.01365
2,LOWR,3,l,0.02271
2,LOWR,3,s,0.00717
2,LOWR,3,r,0.01206
2,LOWR,4,l,0.02547
2,LOWR,4,r,0.0095
2,LOWR,4,s,0.00957
2,LOWR,5,l,0.02649
2,LOWR,5,s,0.00569
2,LOWR,5,r,0.00935
2,LOWR,6,l,0.03562
2,LOWR,6,r,0.01081
2,LOWR,6,s,0.00801
2,NAAT,1,l,0.04542
2,NAAT,1,r,0.0104
2,NAAT,1,s,0.00732
2,NAAT,2,l,0.01035
2,NAAT,2,r,0.00729
2,NAAT,2,s,0.00123
2,NAAT,3,l,0.09076
2,NAAT,3,r,0.04004
2,NAAT,3,s,0.01629
2,NAAT,4,l,0.0251
2,NAAT,4,s,0.0076
2,NAAT,5,l,0.04448
2,NAAT,5,r,0.02142
2,NAAT,5,s,0.00371
2,NAAT,6,l,0.10384
2,NAAT,6,r,0.03671
2,NAAT,6,s,0.01134
2,PLER,1,f,0.00203
2,PLER,1,l,0.00301
2,PLER,1,r,0.00183
2,PLER,2,f,0.00515
2,PLER,2,l,0.0105
2,PLER,2,r,0.00333
2,PLER,3,f,0.05012
2,PLER,3,l,0.15831
2,PLER,3,r,0.02523
2,PLER,4,f,0.01194
2,PLER,4,l,0.04424
2,PLER,4,r,0.00529
2,PLER,5,f,0.03358
2,PLER,5,l,0.12245
2,PLER,5,r,0.01058
2,PLER,6,l,0.03829
2,PLER,6,r,0.01022
2,PLER,7,l,0.03212
2,PLER,7,r,0.00859
2,PLER,8,l,0.09499
2,PLER,8,r,0.02555
2,PLER,9,l,0.03148
2,PLER,9,r,0.01154
2,PLER,10,l,0.0191
2,PLER,10,r,0.00617
2,PLER,11,l,0.02117
2,PLER,11,r,0.01007
2,SACO,1,f,0.06623
2,SACO,1,l,1.74606
2,SACO,1,r,0.3488
2,SACO,1,s,1.38651
2,SACO,2,f,0.01105
2,SACO,2,l,0.39015
2,SACO,2,r,0.0586
2,SACO,2,s,0.14682
2,SACO,3,l,0.12178
2,SACO,3,r,0.0419
2,SACO,3,s,0.04457
2,SACO,4,f,0.01016
2,SACO,4,l,0.37528
2,SACO,4,r,0.1294
2,SACO,4,s,0.1267
2,SACO,5,l,0.01161
2,SACO,5,r,0.0128
2,SACO,5,s,0.00644
2,SACO,6,f,0.00515
2,SACO,6,l,0.63735
2,SACO,6,r,0.0889
2,SACO,6,s,0.12404
2,SACO,7,f,0.10622
2,SACO,7,l,0.83659
2,SACO,7,r,0.23379
2,SACO,7,s,0.54953
