species,USDA_symbol,plot,plant_number,SRL
LARA,LARA,non_plot,all,7076.387096774194
LOMU,LOPE,non_plot,8,9208.396103896104
LOMU,LOPE,non_plot,8,9208.883116883117
LOMU,LOPE,non_plot,7,6062.17027863777
LOMU,LOPE,non_plot,6,6487.481818181819
LOMU,LOPE,non_plot,5,4476.23352165725
LOMU,LOPE,non_plot,4,5428.315112540194
LOMU,LOPE,non_plot,3,4741.4922279792745
LOMU,LOPE,non_plot,2,8019.3829787234035
LOMU,LOPE,non_plot,1,5744.309236947792
VUMY,FEMY2,non_plot,1,9719.418918918918
VUMY,FEMY2,non_plot,2,14958.117647058823
VUMY,FEMY2,non_plot,3,20583.967741935485
VUMY,FEMY2,non_plot,4,18431.905759162306
VUMY,FEMY2,non_plot,5,14657.05223880597
VUMY,FEMY2,non_plot,6,11741.2
VUMY,FEMY2,non_plot,7,14293.19014084507
VUMY,FEMY2,non_plot,7,8260.31690140845
VUMY,FEMY2,non_plot,8,11392.742857142857
ACMO,ACMO2,non_plot,1,18312.714285714286
ACMO,ACMO2,non_plot,2,5458.3538461538465
ACMO,ACMO2,non_plot,3,3638.983695652174
ACMO,ACMO2,non_plot,4,3896.746666666667
ACMO,ACMO2,non_plot,5,3311.987654320988
ACMO,ACMO2,non_plot,6,2795.9555555555557
ACMO,ACMO2,non_plot,7,4784.642857142857
ACMO,ACMO2,non_plot,8,7195.875
CEME,CEME2,762,1,11968.37867647059
CEME,CEME2,761,2,7226.926229508196
CEME,CEME2,749,1,7125.137931034484
NA,NA,non_plot,CEME,NA
CEME,CEME2,762,3,5928.934782608696
NA,CEME2,761,4,NA
NA,NA,non_plot,dummy,NA
NA,NA,non_plot,dummy,NA
NA,NA,non_plot,dummy,NA
GAAP,GAAP2,non_plot,2,5404.523809523809
GAAP,GAAP2,non_plot,1,7913.7
GAAP,GAAP2,non_plot,4,5339.3892617449665
GAAP,GAAP2,non_plot,5,5750.328358208955
GAAP,GAAP2,non_plot,6,8294.345864661655
GAAP,GAAP2,non_plot,7,5529.992063492063
GAAP,GAAP2,non_plot,7,6342.769841269841
GAAP,GAAP2,non_plot,8,12859.516129032258
AMME,AMME,753,1,2467.475
AVBA,AVBA,non_plot,1,4012.307471264368
AVBA,AVBA,non_plot,1,3964.761494252874
AVBA,AVBA,non_plot,2,4471.75
AVBA,AVBA,non_plot,2,3984.2790055248615
AVBA,AVBA,non_plot,2,4050.4765193370163
AVBA,AVBA,non_plot,4,2715.682926829268
AVBA,AVBA,non_plot,3,3037.456790123457
AVBA,AVBA,non_plot,5,2791.715361445783
AVBA,AVBA,non_plot,6,4131.016042780749
AVBA,AVBA,non_plot,6,3997.2994652406414
TOAR,TOAR,non_plot,1,28060.875
TOAR,TOAR,non_plot,1,25985.173611111113
TOAR,TOAR,non_plot,1,30063.944444444445
TOAR,TOAR,non_plot,1,50767.73611111111
TOAR,TOAR,non_plot,1,47860.9375
TOAR,TOAR,non_plot,2,33933.9358974359
TOAR,TOAR,non_plot,2,36801.23076923077
TOAR,TOAR,non_plot,1,39195.21527777778
AVFA,AVFA,non_plot,5,3054.154746423927
AVFA,AVFA,non_plot,6,3454.8298465829844
AVFA,AVFA,non_plot,6,3420.4909344490934
AVBA,AVBA,non_plot,7,2918.279329608939
AVBA,AVBA,non_plot,8,2927.482076637825
AVFA,AVFA,non_plot,1,3446.773246329527
AVFA,AVFA,non_plot,2,4176.609722222222
AVFA,AVFA,non_plot,7,4069.7368421052624
AVFA,AVFA,non_plot,7,4282.727554179566
AVFA,AVFA,non_plot,8,3385.563876651983
AVFA,AVFA,non_plot,8,3339.953010279002
NA,CAPY2,non_plot,1,NA
NA,CAPY2,non_plot,2,NA
NA,CAPY2,non_plot,2,NA
NA,CAPY2,non_plot,3,NA
NA,CAPY2,non_plot,3,NA
NA,CAPY2,non_plot,4,NA
NA,CAPY2,non_plot,5A,NA
NA,CAPY2,non_plot,5B,NA
NA,CAPY2,non_plot,5B,NA
NA,CAPY2,non_plot,5B,NA
NA,CAPY2,non_plot,6,NA
NA,CAPY2,non_plot,7,NA
NA,CAPY2,non_plot,7,NA
