USDA_symbol,max_height,max_height_data_source
ACMO2,26.3,2017
AGHE2,25.049999999999997,2017
AMME,50.8,MOLINARI
ANAR,22.5,MOLINARI
ASGA,16,MOLINARI
AVBA,106.05,2017
AVFA,123.39999999999998,2017
BOIN3,49.19999999999999,2017
BRDI3,54.19999999999999,2017
BRHO2,58.05,2017
BRMA3,30,MOLINARI
CACI2,22.8,MOLINARI
CACO35,19.049999999999997,2017
CAEX14,24.13,MOLINARI
CAPY2,161.29999999999993,2017
CEME2,55.00000000000001,MOLINARI
CHPA8,18.65,2017
CHPO3,25.049999999999997,2017
CLBO,32.45,TAPIOCA
CLPE,25,2017
CLPU2,50,MOLINARI
COFI2,50,MOLINARI
CRCO34,4,MOLINARI
CRSE11,7,2017
DICA14,48.3,MOLINARI
DOCL,33.24999999999999,2017
ERCI6,30,MOLINARI
ERMO7,31.299999999999983,2017
EUSP,20,TAPIOCA
FEMY2,37.5,MOLINARI
GAAP2,74,2017
GAPH2,25,MOLINARI
GAPO,105,MOLINARI
GECA5,10.9,TAPIOCA
GEDI,10,MOLINARI
GICL,18,MOLINARI
GIOC,16.049999999999997,2017
HECO7,70.6,TAPIOCA
HOMU,60,MOLINARI
HYGL2,6,MOLINARI
LACA7,16.509999999999998,MOLINARI
LARA,30,2017
LASE,100,MOLINARI
LEBI4,41.75,2017
LENI,22.86,MOLINARI
LEPA51,14.049999999999997,2017
LOAM5,32.5,MOLINARI
LOGA2,19.05,MOLINARI
LOHU2,12.7,MOLINARI
LOPE,80.24999999999999,2017
LOST4,10,2017
LOUT,24.13,MOLINARI
LOWR2,23.5,TAPIOCA
LUBI,23.19999999999999,2017
LUNA3,25,MOLINARI
MEPO3,30,MOLINARI
MICA,14.000000000000002,MOLINARI
MIDO,23,2017
NAAT,22,TAPIOCA
NAMI4,11.5,MOLINARI
PLER3,8,MOLINARI
PLNO,45,MOLINARI
POSE,57.49999999999999,MOLINARI
SACO6,42.25,TAPIOCA
SIBE,30.48,MOLINARI
SIGA,25,MOLINARI
STME2,28.499999999999996,MOLINARI
STPU2,119.29999999999998,2017
THCU,31.65,2017
THLA3,47.949999999999996,2017
TOAR,78.29999999999998,2017
TRAL5,28.299999999999983,2017
TRCI,29.2,MOLINARI
TRDE,15.24,MOLINARI
TRGR2,24.13,MOLINARI
TRGR5,30,MOLINARI
TRIX,37,2017
TRLA4,38.1,MOLINARI
URLI5,37.5,MOLINARI
VIPE3,23.14999999999999,2017
YAMI,21.5,MOLINARI
