USDA_symbol,dataset,foliar_N,CN_ratio,d15N,d13C
ACMO2,2017,2.71,19.132841328413285,0.78,-30.12
AGHE2,2017,2.45,16.824489795918364,-0.17,-30.8
ANAR,2017,2.14,20.623831775700936,3.9050000000000002,-29.009999999999998
AVBA,2017,1.7366666666666666,23.979339374076215,-1.76,-28.333333333333332
AVFA,2017,2,17.895,3.37,-29.35
BOIN3,2017,2.29,15.47598253275109,-0.88,-30.21
BRDI3,2017,2.37,17.82278481012658,3.07,-27.75
BRHO2,2017,2.18,18.362385321100916,6.41,-30.02
CACO35,2017,2.51,17.350597609561753,1.2,-29.91
CAPY2,2017,2.73,14.956043956043956,-2.89,-30.74
CHPO3,2017,2.33,19.21030042918455,0.06,-27.89
CLPE,2017,3.8899999999999997,10.009086703674333,-4.165,-32.275000000000006
CRSE11,2017,2.6950000000000003,15.813012887591562,0.735,-28.005
DOCL,2017,2.7,15.399999999999999,-1.36,-29.93
ERMO7,2017,4.27,9.152224824355972,1.21,-30.25
FEMY2,2017,2.54,16.427165354330707,2.66,-30.985
GAAP2,2017,2.7,14.951851851851849,-1.31,-28.12
GIOC,2017,1.35,31.711111111111112,-2.03,-29.89
LARA,2017,1.68,22.898809523809526,1.5,-31.24
LASE,2017,3.6775,12.155880665974953,2.1900000000000004,-28.5775
LEBI4,2017,1.82,23.71978021978022,0.13,-30.54
LEPA51,2017,2.11,19.55924170616114,-1.65,-29.47
LOPE,2017,1.74,22.068965517241377,4.65,-30.65
LOST4,2017,2.6,15.323076923076924,-2.14,-27.66
LUBI,2017,3.67,11.452316076294279,-0.86,-29.47
MIDO,2017,2.48,16.540322580645164,7.75,-29.7
SIGA,2017,1.91,20.539267015706805,-0.27,-29.05
STPU2,2017,1.66,22.012048192771086,0.84,-28.29
THCU,2017,1.87,19.764705882352942,5.15,-31.14
THLA3,2017,3.58,11.273743016759775,4.72,-30.65
TOAR,2017,2.51,15.12749003984064,-2.95,-30.57
TRAL5,2017,2.85,14.024561403508772,-1.03,-27.75
unknown,2017,1.98,19.313131313131315,3.53,-29.79
VIPE3,2017,2.26,18.15486725663717,-3.05,-29.77
