sequence,date,species,USDA_symbol,plot,plant_number,leaf_number,petiole,leaf_length_cm,leaf_width_cm,wet_mass_g,dry_mass_g,SLA,LDMC,LA,censor
1,2017-03-22,chgl,CHGL,748,1,1,FALSE,3.3,0.9,0.04643,0.00845,108.1656804733728,0.18199440017230237,0.914,FALSE
1,2017-03-22,chgl,CHGL,748,1,1,FALSE,3.3,0.9,0.04643,0.00845,102.84023668639054,0.18199440017230237,0.869,FALSE
1,2017-03-22,chgl,CHGL,748,1,1,FALSE,3.3,0.9,0.04643,0.00845,111.00591715976331,0.18199440017230237,0.938,FALSE
2,2017-03-22,chgl,CHGL,748,1,2,FALSE,3.5,0.9,0.04678,0.00848,NA,0.18127404873877723,NA,FALSE
3,2017-03-22,chgl,CHGL,748,1,3,FALSE,3.5,0.9,0.04738,0.00762,NA,0.16082735331363446,NA,FALSE
4,2017-03-22,chgl,CHGL,748,2,1,FALSE,3.5,1.1,0.06766,0.01233,NA,0.1822347029263967,NA,FALSE
5,2017-03-22,chgl,CHGL,748,2,2,FALSE,3.5,0.9,0.06217,0.01015,114.08866995073892,0.1632620234839955,1.158,FALSE
5,2017-03-22,chgl,CHGL,748,2,2,FALSE,3.5,0.9,0.06217,0.01015,104.82758620689657,0.1632620234839955,1.064,FALSE
5,2017-03-22,chgl,CHGL,748,2,2,FALSE,3.5,0.9,0.06217,0.01015,58.62068965517241,0.1632620234839955,0.595,FALSE
6,2017-03-22,chgl,CHGL,748,2,3,FALSE,2.8,0.7,0.03116,0.00641,NA,0.20571245186136072,NA,FALSE
7,2017-03-22,chgl,CHGL,748,3,1,FALSE,4.4,1.3,0.07853,0.01524,NA,0.1940659620527187,NA,FALSE
8,2017-03-22,chgl,CHGL,748,3,2,FALSE,4.9,1.2,0.08692,0.01609,NA,0.18511274735388863,NA,FALSE
9,2017-03-22,chgl,CHGL,748,3,3,FALSE,4.5,1.3,0.08046,0.01652,92.85714285714286,0.20531941337310464,1.534,FALSE
9,2017-03-22,chgl,CHGL,748,3,3,FALSE,4.5,1.3,0.08046,0.01652,99.818401937046,0.20531941337310464,1.649,FALSE
9,2017-03-22,chgl,CHGL,748,3,3,FALSE,4.5,1.3,0.08046,0.01652,101.69491525423729,0.20531941337310464,1.68,FALSE
10,2017-03-22,chgl,CHGL,748,4,1,FALSE,4.5,1.4,0.08138,0.01196,NA,0.14696485623003197,NA,FALSE
11,2017-03-22,chgl,CHGL,748,4,2,FALSE,2.6,0.5,0.02538,0.00412,NA,0.16233254531126873,NA,FALSE
12,2017-03-22,chgl,CHGL,748,4,3,FALSE,2.1,0.5,0.01892,0.00273,NA,0.14429175475687103,NA,FALSE
13,2017-03-22,chgl,CHGL,748,5,1,FALSE,3.6,1.1,0.0617,0.00892,NA,0.14457050243111833,NA,FALSE
14,2017-03-22,chgl,CHGL,748,5,2,FALSE,3.4,0.9,0.05168,0.00712,NA,0.13777089783281735,NA,FALSE
15,2017-03-22,chgl,CHGL,748,5,3,FALSE,3,0.8,0.05229,0.00937,NA,0.17919296232549242,NA,FALSE
16,2017-03-22,chgl,CHGL,748,6,1,FALSE,3.5,0.7,0.05466,0.00866,NA,0.1584339553604098,NA,FALSE
17,2017-03-22,chgl,CHGL,748,6,2,FALSE,3.1,0.6,0.03914,0.00686,NA,0.17526826775677057,NA,FALSE
18,2017-03-22,chgl,CHGL,748,6,3,FALSE,2.4,0.4,0.02511,0.00481,NA,0.19155714854639586,NA,FALSE
19,2017-03-22,chgl,CHGL,748,7,1,FALSE,3.9,1.1,0.08021,0.01273,NA,0.1587083904750031,NA,FALSE
20,2017-03-22,chgl,CHGL,748,7,2,FALSE,3.1,0.9,0.06526,0.01111,NA,0.17024210848912044,NA,FALSE
21,2017-03-22,chgl,CHGL,748,7,3,FALSE,3.1,0.9,0.05745,0.00916,NA,0.15944299390774586,NA,FALSE
22,2017-03-22,chgl,CHGL,748,8,1,FALSE,2.9,0.7,0.03495,0.00678,NA,0.19399141630901284,NA,FALSE
23,2017-03-22,chgl,CHGL,748,8,2,FALSE,2.2,0.5,0.02484,0.00538,NA,0.21658615136876005,NA,FALSE
24,2017-03-22,chgl,CHGL,748,8,3,FALSE,3.2,0.7,0.04285,0.00721,NA,0.16826137689614937,NA,FALSE
