Species.Name,Origin,Life.Form,Abundance.Metric.2007,Abundance.Metric.2008,Peak.Flowering,Height..m.,Seed.Mass..mg.,SLA..cm2.g.,standard_binomial,USDA_symbol,max_height,seed_mass,SLA
Agoseris heterophylla,Native,Forb,0.115,0.188,5.5,0.13,0.756,306.794,Agoseris heterophylla,AGHE2,13,7.56e-4,306.794
Amsinckia menziesii,Native,Forb,-0.105,-1.325,6,0.508,2.4,102.14,Amsinckia menziesii,AMME,50.8,0.0024,102.14
Anagallis arvensis,Exotic,Forb,0.04,0.005,4,0.225,0.524,330.787,Anagallis arvensis,ANAR,22.5,5.24e-4,330.787
Astragalus gambelianus,Native,Forb,NA,0.506,5,0.16,0.923,132.6,Astragalus gambelianus,ASGA,16,9.23e-4,132.6
Avena sp.,Exotic,Grass,-2.655,-4.966,4.8,0.6,7.48,156.891,Avena fatua,AVFA,60,0.0074800000000000005,156.891
Bromus diandrus,Exotic,Grass,-29.98,-32.538,4.5,0.475,15.4,175.189,Bromus diandrus,BRDI3,47.5,0.0154,175.189
Bromus hordeaceus,Exotic,Grass,-2.235,1.6,4.5,0.38,3.25,132.765,Bromus hordeaceus,BRHO2,38,0.00325,132.765
Bromus madritensis,Exotic,Grass,-1.675,-0.892,4.5,0.3,3.112,158.334,Bromus madritensis,BRMA3,30,0.003112,158.334
Calandrinia ciliata,Native,Forb,-0.005,-0.09,3.5,0.228,0.484,NA,Calandrinia ciliata,CACI2,22.8,4.84e-4,NA
Carduus pycnocephalus,Exotic,Forb,-1.221,-0.015,5,1.1,5.49,213.2,Carduus pycnocephalus,CAPY2,110.00000000000001,0.00549,213.2
Castilleja exserta,Native,Forb,0.03,0.441,4,0.241,0.157,319.66,Castilleja exserta,CAEX14,24.099999999999998,1.57e-4,319.66
Centaurea melitensis,Exotic,Forb,-0.1,-0.198,5.5,0.55,1.34,149.754,Centaurea melitensis,CEME2,55.00000000000001,0.00134,149.754
Chlorogalum pomeridianum,Native,Forb,0.124,0.542,6,0.45,8.73,NA,Chlorogalum pomeridianum,CHPO3,45,0.00873,NA
Clarkia purpurea,Native,Forb,0.171,0.271,5,0.5,0.468,148.4,Clarkia purpurea,CLPU2,50,4.6800000000000005e-4,148.4
Crassula connata,Native,Forb,0.035,0.681,3.5,0.04,0.014,362.213,Crassula connata,CRCO34,4,1.4e-5,362.213
Dichelostemma capitatum,Native,Forb,0.005,0.126,4,0.483,NA,145.4,Dichelostemma capitatum,DICA14,48.3,NA,145.4
Dodecatheon clevlandii,Native,Forb,0.109,0.316,3,0.285,1.11,177.451,Dodecatheon clevelandii,DOCL,28.499999999999996,0.00111,177.451
Erodium cicutarium,Exotic,Forb,1.048,-2.238,3.5,0.3,3.37,193.485,Erodium cicutarium,ERCI6,30,0.00337,193.485
Erodium moschatum,Exotic,Forb,-0.02,-0.764,5.5,0.35,1.94,227.527,Erodium moschatum,ERMO7,35,0.0019399999999999999,227.527
Eremocarpus setigerus,Native,Forb,-0.264,-0.28,7.5,0.1,7.94,NA,Croton setigerus,CRSE11,10,0.007940000000000001,NA
Filago gallica,Exotic,Forb,0.061,0.01,4.5,0.191,0.208,252.066,Logfia gallica,LOGA2,19.1,2.08e-4,252.066
Galium aparine,Native,Forb,-0.016,-0.074,5,0.6,4.333,188.937,Galium aparine,GAAP2,60,0.004333,188.937
Galium porrigens,Native,Forb,-0.01,-0.005,6.5,1.05,1.5,193.161,Galium porrigens,GAPO,105,0.0015,193.161
Gastridium ventricosum,Exotic,Grass,0.051,NA,NA,0.25,0.037,NA,Gastridium phleoides,GAPH2,25,3.7e-5,NA
Geranium dissectum,Exotic,Forb,0.005,NA,5,0.1,2.19,229.412,Geranium dissectum,GEDI,10,0.00219,229.412
Gilia clivorum,Native,Forb,NA,0.322,4,0.18,NA,150.441,Gilia clivorum,GICL,18,NA,150.441
Hordeum murinum,Exotic,Grass,-2.26,0.101,3.5,0.6,2.6,237.257,Hordeum murinum,HOMU,60,0.0026,237.257
Hypochaeris glabra,Exotic,Forb,0.678,0.186,4.5,0.06,0.571,292.734,Hypochaeris glabra,HYGL2,6,5.71e-4,292.734
Lasthenia californica,Native,Forb,0.08,0.416,4,0.165,0.148,163.754,Lasthenia californica,LACA7,16.5,1.48e-4,163.754
Lagophylla ramosissima,Native,Forb,0.005,0.016,7,0.55,1.66,NA,Lagophylla ramosissima,LARA,55.00000000000001,0.00166,NA
