USDA_symbol,seed_mass,seed_mass_data_source
URLI5,0.002166666666667,TAPIOCA
MIDO,0.00135,TAPIOCA
AMME,0.00253,TAPIOCA
ANAR,4.55320738671e-4,TAPIOCA
CEME2,0.001559552076588,TAPIOCA
CLBO,1.66953279725e-4,TAPIOCA
CLPU2,3.73573412461e-4,TAPIOCA
ERBO,0.003320870534389,TAPIOCA
ERCI6,0.002766969441044,TAPIOCA
EUSP,0.001427771117098,TAPIOCA
GECA5,0.001914309811703,TAPIOCA
HECO7,0.001539877611854,TAPIOCA
LACA7,1.30233873125e-4,TAPIOCA
LOAM5,0.003918336984559,TAPIOCA
LOWR2,0.003020246274544,TAPIOCA
MEPO3,0.002996273002187,TAPIOCA
NAAT,0.001326198704947,TAPIOCA
PLER3,0.002201594003359,TAPIOCA
SACO6,0.001206414933715,TAPIOCA
SIGA,2.65465990614e-4,TAPIOCA
AVBA,0.008112479714285714,BIEN
CACO35,0.024220199999999997,BIEN(avg. of 6 Calystegia sp.)
ACMO2,0.003933333333333333,2017
AGHE2,3.6666666666666667e-4,2017
ANAR,3.6e-4,2017
BOIN3,9.766666666666667e-4,2017
CAPY2,0.004873333333333333,2017
CLPE,7.999999999999999e-4,2017
DOCL,9.8e-4,2017
ERMO7,0.00164,2017
GAAP2,0.003940909090909091,2017
GIOC,8.883333333333334e-4,2017
LARA,4.2666666666666667e-4,2017
LEBI4,0.0012266666666666667,2017
LEPA51,3.6e-4,2017
LOPE,0.00212,2017
LOST4,0.00334,2017
LUBI,0.006136666666666667,2017
MIDO,0.0021133333333333334,2017
THCU,0.0017666666666666666,2017
THLA3,9.133333333333334e-4,2017
TOAR,0.0017866666666666667,2017
TRAL5,0.00155,2017
ACAM,0.46861,2018
ACWR,0.30536,2018
AMME,0.31672,2018
ANAR,0.03634,2018
BRMA,0.2796,2018
CEME,0.17952,2018
CHGL,0.061,2018
CHPA8,0.06174,2018
CLBO,0.02219,2018
CLPU,0.0466,2018
ERCI,0.1265,2018
EUSP,0.1145,2018
FEMI2,0.1256,2018
HECO,0.09812,2018
HOMU,0.6561,2018
LACA,0.00937,2018
MEPO,0.30632,2018
MICA,0.07205,2018
NAAT,0.1357,2018
PLER,0.18449,2018
SACO,0.09669,2018
SIGA,0.02576,2018
URLI,0.17331,2018
AGHE2,7.56e-4,MOLINARI
AMME,0.0024,MOLINARI
ANAR,5.24e-4,MOLINARI
ASGA,9.23e-4,MOLINARI
AVFA,0.0074800000000000005,MOLINARI
BRDI3,0.0154,MOLINARI
BRHO2,0.00325,MOLINARI
BRMA3,0.003112,MOLINARI
CACI2,4.84e-4,MOLINARI
CAPY2,0.00549,MOLINARI
CAEX14,1.57e-4,MOLINARI
CEME2,0.00134,MOLINARI
CHPO3,0.00873,MOLINARI
CLPU2,4.6800000000000005e-4,MOLINARI
CRCO34,1.4e-5,MOLINARI
DOCL,0.00111,MOLINARI
ERCI6,0.00337,MOLINARI
ERMO7,0.0019399999999999999,MOLINARI
CRSE11,0.007940000000000001,MOLINARI
LOGA2,2.08e-4,MOLINARI
GAAP2,0.0043333,MOLINARI
GAPO,0.0015,MOLINARI
GAPH2,3.7e-5,MOLINARI
GEDI,0.00219,MOLINARI
HOMU,0.0026,MOLINARI
HYGL2,5.71e-4,MOLINARI
LACA7,1.48e-4,MOLINARI
LARA,0.00166,MOLINARI
LASE,4.17e-4,MOLINARI
COFI2,0.0023,MOLINARI
LENI,7.89e-4,MOLINARI
LOPE,0.0020499999999999997,MOLINARI
LOUT,0.00894,MOLINARI
LOAM5,0.00509,MOLINARI
LOHU2,0.00261,MOLINARI
LOST4,0.00294,MOLINARI
LUNA3,0.009869999999999999,MOLINARI
MEPO3,0.00367,MOLINARI
MICA,0.0019399999999999999,MOLINARI
STPU2,0.004030000000000001,MOLINARI
NAMI4,2.24e-4,MOLINARI
PLER3,0.00136,MOLINARI
PLNO,0.0012900000000000001,MOLINARI
POSE,3.25e-4,MOLINARI
SIGA,3.17e-4,MOLINARI
SIBE,0.00244,MOLINARI
STME2,5.26e-4,MOLINARI
THCU,0.00141,MOLINARI
TRLA4,0.00226,MOLINARI
TRAL5,0.002,MOLINARI
TRCI,0.00379,MOLINARI
TRDE,3.8500000000000003e-4,MOLINARI
TRGR2,9.59e-4,MOLINARI
URLI5,0.003,MOLINARI
VIPE3,0.00393,MOLINARI
FEMY2,3.3329999999999997e-4,MOLINARI
YAMI,0.005,MOLINARI
