sequence,USDA_symbol,plot,plant_number,height,width,length,extra
529,FEMI2,746,1,22.5,5.5,2,"H: 22.5, w1: 5.5; w2: 2 NA NA NA NA"
532,FEMI2,746,2,25.5,10,3,H: 25.5 w1: 10 w2: 3 NA NA
535,FEMI2,746,3,24.5,3,2,H: 24.5 W1:3 W2: 2 NA NA
538,FEMI2,746,4,26,6,2.5,H: 26 W1: 6 w2: 2.5 NA NA
541,FEMI2,746,5,27,5,3.5,H: 27 W1: 5 W2: 3.5 NA NA
544,HOMU,749,1,15,49,47,H: 15 w1: 49: w2: 47 NA NA NA
547,HOMU,749,2,14,38,26,H: 14 W1: 38 W2: 26 NA NA
550,HOMU,749,3,17,38,35.5,H: 17 W1: 38 W2: 35.5 NA NA
553,HOMU,749,4,12.6,34.9,35.5,H: 12.6 W1: 34.9 W2: 35.5 NA NA
556,HOMU,749,5,20.5,46.5,58,H: 20.5 W1: 46.5 W2: 58 leaf area only half the plant NA
559,LOWR2,740,1,6,13,10.5,H: 6 W: 13 W2: 10.5 NA NA
562,LOWR2,740,2,9,10,10,H: 9 W1: 10 W2: 10 NA NA
571,LOWR2,740,5,7.5,11,9,H: 7.5 W1: 11 W2: 9 NA NA
580,URLI5,749,3,11.2,8.5,6.8,H: 11.2 W1: 8.5 W2: 6.8 NA NA
583,URLI5,749,4,15.1,11.5,12,H: 15.1 W1: 11.5 W2: 12 NA NA
589,LOWR2,746,1,7,9.5,8,H: 7 W1: 9.5 W2: 8 NA NA
592,LOWR2,746,2,8.5,8,1.5,H: 8.5 W1: 8 W2: 1.5 NA NA
595,LOWR2,746,3,1.5,13,5,H: 1.5 W1: 13 W2: 5 NA NA
598,LOWR2,746,4,9,6.5,2,H: 9 W1: 6.5 W2: 2 NA NA
601,PLER3,740,1,13.5,7,6,H: 13.5 W1: 7 W2: 6 NA NA
604,PLER3,740,2,7.4,1.5,1,H: 7.4 W1: 1.5 W2: 1 NA NA
607,AMME,740,1,16,3.5,4,H: 16 W1: 3.5 W2: 4 NA NA
616,HOMU,746,3,7.5,19,15.5,H: 7.5 W1: 19 W2: 15.5 NA NA
619,HOMU,746,4,11.4,14.5,8.7,H: 11.4 W1: 14.5 W2: 8.7 NA NA
622,HOMU,746,5,10.5,14,8,H: 10.5 W1: 14 W2: 8 NA NA
625,URLI5,746,1,14.5,5.7,5,H: 14.5 W1: 5.7 W2: 5 NA NA
628,URLI5,746,2,12.5,7,4.5,H: 12.5 W1: 7 W2: 4.5 NA NA
631,URLI5,746,3,12.6,4.5,3,H: 12.6 W1: 4.5 W2: 3 NA NA
634,URLI5,746,4,14.5,5.5,4,H: 14.5 W1: 5.5 W2: 4 NA NA
637,URLI5,746,5,10.2,6,4.5,H: 10.2 W1: 6 W2: 4.5 NA NA
640,AMME,746,1,31.5,2,1.5,H: 31.5 W1: 2 W2: 1.5 NA NA
643,AMME,746,2,26,2,1,H: 26 W1: 2 W2: 1 NA NA
646,PLER3,746,1,9.1,3.5,2.8,H: 9.1 W1: 3.5 W2: 2.8 NA NA
649,PLER3,746,2,10.6,4,5.5,H: 10.6 W1: 4 W2: 5.5 NA NA
652,PLER3,746,3,8,3.5,2.4,H: 8 W1: 3.5 W2: 2.4 NA NA
655,PLER3,746,4,9,6.8,4.5,H: 9 W1: 6.8 W2: 4.5 NA NA
658,PLER3,746,5,10.5,5,4.5,H: 10.5 W1: 5 W2: 4.5 NA NA
778,BRMA3,760,1,27,4,4,H: 27 W1: 4 W2: 4 NA NA
781,BRMA3,760,2,23,6,4,H: 23 W1: 6 W2: 4 NA NA
784,BRMA3,760,3,26,7,2,"H: 26, W1: 7: w2: 2 NA NA NA NA"
787,BRMA3,760,4,26,6,11,H: 26 W1: 6 W2: 11 NA NA
790,BRMA3,760,5,19,5,5,H: 19 W1: 5 W2: 5 NA NA
793,LOWR2,760,1,9,16,14,H: 9 W1: 16: W2: 14 NA NA NA
797,LOWR2,760,2,7,25,16,H: 7 W1: 25 W2: 16 NA NA
800,LOWR2,760,3,7,25,15,H: 7 W1: 25 W2: 15 NA NA
802,LOWR2,760,4,9,11,8,H: 9 W1: 11 W2: 8 NA NA
806,LOWR2,760,5,5,23,17,H: 5 W1: 23 W2: 17 NA NA
808,SACO6,760,1,25,18,16,H: 25 W1: 18 W2: 16 NA NA
811,SACO6,760,2,10,10,7,H: 10 W1: 10 W2: 7 NA NA
814,SACO6,760,3,7,13,10,H: 7 W1: 13 W2: 10 NA NA
817,SACO6,760,4,18,6,5,H: 18 W1: 6 W2: 5 NA NA
820,SACO6,760,5,22,8,5,H: 22 W1: 8 W2: 5 NA NA
823,CHGL,760,1,11,5,4,H: 11 W1: 5 W2: 4 NA NA
826,CHGL,760,2,7,9,10,H: 7 W1: 9 W2: 10 NA NA
829,CHGL,760,3,14.5,7,6,H: 14.5 W1: 7 W2: 6 NA NA
832,CHGL,760,4,8,6,4,H: 8 W1: 6 W2: 4 NA NA
835,LACA7,760,1,9,1,1,H: 9 W1: 1 W2: 1 NA NA
838,LACA7,760,2,7.5,1,1,H: 7.5 W1: 1 W2: 1 NA NA
841,LACA7,760,3,11,8,2,H: 11 W1: 8 W2: 2 NA NA
844,LACA7,760,4,14,7,5,H: 14 W1: 7 W2: 5 NA NA
847,PLER3,760,1,12,8,6.5,H: 12 W1: 8 W2: 6.5 NA NA
850,PLER3,760,2,15,6,4,H: 15 W1: 6 W2: 4 NA NA
853,PLER3,760,3,9,5,4,H: 9 W1: 5 W2: 4 NA NA
856,PLER3,760,4,11,7,5,H: 11 W1: 7 W2: 5 NA NA
859,PLER3,760,5,14.5,5,5,H 14.5 W1: 5 W2: 5 NA NA
994,FEMI2,756,1,16,4,2,"leaf curling, double for area; H: 16; W1: 4; W2: 2 NA NA NA NA"
997,FEMI2,756,2,20,15,4,"leaf curling, double for area; H: 20; W1: 15; W2: 4 NA NA NA NA"
1003,FEMI2,756,4,22,8,4,"leaf curling, double for area; H: 22; W: 8; W2: 4 NA NA NA NA"
1006,FEMI2,756,5,21,4,4,"leaf curling, double for area; no leaves for all agb scan: H: 21; W1: 4; W2: 4 NA NA NA NA"
1010,BRMA3,756,1,30,8,4,H: 30 W1: 8 W2: 4 NA NA
1013,BRMA3,756,2,25,5,5,H: 25 W1: 5 W2: 5 NA NA
1015,BRMA3,756,3,25,17,5,H: 25 W1: 17 W2: 5 NA NA
1018,BRMA3,756,4,22,11,5,H: 22 W1: 11 W2: 5 NA NA
1021,HOMU,756,1,9.5,8,6,H: 9.5 W1: 8 W2: 6 NA NA
1024,LOWR2,756,1,9,9,8,H: 9 W1: 9 W2: 8 NA NA
1027,MICA,756,1,12,3,1,H: 12 W1: 3 W2: 1 NA NA
1030,MICA,756,2,15,2,1,H: 15 W1: 2 W2: 1 NA NA
1033,MICA,756,3,17,1,1,H: 17 W1: 1 W2: 1 NA NA
1036,MICA,756,4,14.5,1,1,H: 14.5 W1: 1 W2: 1 NA NA
1039,MICA,756,5,19,2,1,H: 19 W1: 2 W2: 1 NA NA
1042,URLI5,756,1,18,8,4,H: 18 W1: 8 W2: 4 NA NA
1045,URLI5,756,2,17.5,6,3,H: 17.5 W1: 6 W2: 3 NA NA
1048,URLI5,756,3,19,5,3,H: 19 W1: 5 W2: 3 NA NA
1051,EUSP,756,1,6.5,3,3,H: 6.5 W1: 3 W2: 3 NA NA
1054,EUSP,756,2,8,1.5,1.5,H: 8 W1: 1.5 W2: 1.5 NA NA
1057,EUSP,756,3,8.5,4,4,H: 8.5 W1: 4 W2: 4 NA NA
1060,SACO6,756,1,6,3,2,H: 6 W1: 3 W2: 2 NA NA
1063,SACO6,756,2,4,1,2,H: 4 W1: 1 W2: 2 NA NA
1066,AMME,756,1,18,3,3,H: 18 W1: 3 W2: 3 NA NA
1069,LACA7,756,1,13,6,3,H: 13 W1: 6 W2: 3 NA NA
1072,LACA7,756,2,14,9,5,H: 14 W1: 9 W2: 5 NA NA
1075,LACA7,756,3,14,10,7,H: 14 W1: 10 W2: 7 NA NA
1078,LACA7,756,4,17,6,3,H: 17 W1: 6 W2: 3 NA NA
1081,PLER3,756,1,9.5,6.5,3,H: 9.5 W1: 6.5 W2: 3 NA NA
1084,PLER3,756,2,13.5,7,5,H: 13.5 W1: 7 W2: 5 NA NA
1087,PLER3,756,3,10,5,2,H: 10 W1: 5 W2: 2 NA NA
1090,PLER3,756,4,14.5,6,3,H: 14.5 W1: 6 W2: 3 NA NA
1093,PLER3,756,5,13,8,4,H: 13 W1: 8 W2: 4 NA NA
1348,HOMU,752,1,17,12,10,H: 17 W1: 12 W2: 10 NA NA
1351,HOMU,752,2,9,4,4,H: 9 W1: 4 W2: 4 NA NA
1360,FEMI2,752,3,21,3,3,H: 21 W1: 3 W2: 3 NA NA
1393,AMME,752,1,18,1.5,1.5,H: 18 W1: 1.5 W2: 1.5 NA NA
1408,URLI5,752,1,17,5,4,H: 17 W1: 5 W2: 4 NA NA
1411,URLI5,752,2,11.5,3,2,H: 11.5 W1: 3 W2: 2 NA NA
1414,PLER3,752,1,7,3,2,H: 7 W1: 3 W2: 2 NA NA
1417,PLER3,752,2,12,6,5,H: 12 W1: 6 W2: 5 NA NA
1420,PLER3,752,3,10,6,6,H: 10 W1: 6 W2: 6 NA NA
1819,FEMI2,comp,1,39,10,4,NA 39 10 4 NA
1822,HOMU,comp,1,19,13,13,NA 19 13 13 NA
1825,HOMU,comp,2,35,22,7,NA 35 22 7 NA
1828,HOMU,comp,3,19,18,17,NA 19 18 17 NA
1831,HOMU,comp,4,31,25,25,NA 31 25 25 NA
1834,HOMU,comp,5,20,10,10,NA 20 10 10 NA
1837,LOAM5,comp,1,9,6,2,NA 9 6 2 NA
1840,URLI5,comp,1,26.5,12,7,NA 26.5 12 7 NA
1843,URLI5,comp,2,35,17,17,half of plant used 35 17 17 NA
1846,URLI5,comp,3,28,12,10,NA 28 12 10 NA
1849,URLI5,comp,4,30,15,14,NA 30 15 14 NA
1852,URLI5,comp,5,26,10,7,NA 26 10 7 NA
1855,MEPO3,comp,1,10,10,8,NA 10 10 8 NA
1858,MEPO3,comp,2,5,15,4,NA 5 15 4 NA
1861,MEPO3,comp,3,11,15,20,NA 11 15 20 NA
1864,MEPO3,comp,5,23,25,8,NA 23 25 8 NA
1867,EUSP,comp,1,12,3,2,NA 12 3 2 NA
1870,EUSP,comp,2,12,8,4,NA 12 8 4 NA
1873,EUSP,comp,3,10,6,5,NA 10 6 5 NA
1876,EUSP,comp,4,14,5,5,NA 14 5 5 NA
1879,EUSP,comp,5,16,3,4,NA 16 3 4 NA
1882,LACA7,comp,1,12,4,4,NA 12 4 4 NA
1885,LACA7,comp,2,11,4,3,NA 11 4 3 NA
1888,LOWR2,comp,1,9,17,13,half of plant used 9 17 13 NA
1891,LOWR2,comp,2,13,14,10,NA 13 14 10 NA
1894,LOWR2,comp,3,10,10,4,NA 10 10 4 NA
1897,LOWR2,comp,5,10,8,7,NA 10 8 7 NA
1900,PLER3,comp,1,10,4,4,NA 10 4 4 NA
