Species,doy_fr_50
Achyrachaena mollis,99.39999999999999
Agoseris heterophylla,108.44514106583071
Anagallis arvensis,NA
Ancistrocarphus filagineus,97.99999999999997
Astragalus gambelianus,97.99999999999997
Avena barbata,101.114453125
Avena fatua,105.90433577010336
Brodea,NA
Bromus diandrus,108.49999999999997
Bromus hordaceous,111.82278481012658
Carduus pycnocephalus,143.5
Claytonia perfoliata,80.28395061728392
Croton setigerus,NA
Gilia ocheracerous,89.28671328671331
Lactuca serriola,NA
Lagophylla ramosissima,NA
Leptosiphon parviflorus,97.75156576200419
Leptosyne bigelovii,85.9195781147001
Lolium perrene,NA
Lotus strigosus,87.5
Lupinus bicolor,89.70292573143287
Microseris douglasii,102.83012259194393
Plantago erecta,98.48113207547169
Stipa pulchra,NA
Torrilis arvensis,143.5
Trichostema lanceolatum,NA
Trifolium albopurpureum,108.49999999999997
Viola pedunculata,NA
Vulpia myuros,101.52517985611513
