USDA_symbol,plant_number,SLA,LDMC,LA,SRL,calflora_taxon,common,life_history,form,status,family,calflora_binomial,synonym,standard_binomial,genus,species
AVBA,1,171.97255496488694,0.33971456278178175,3.943,39.88534482758621,Avena barbata,Slim oat,Annual,Perennial,non-native,POACEAE,Avena barbata,NA,Avena barbata,Avena,barbata
AVBA,2,194.7279255691079,0.31116877307609664,5.445333333333333,41.6883517495396,Avena barbata,Slim oat,Annual,Perennial,non-native,POACEAE,Avena barbata,NA,Avena barbata,Avena,barbata
AVBA,3,183.70101738098919,0.3067897350285104,3.4913333333333334,30.374567901234567,Avena barbata,Slim oat,Annual,Perennial,non-native,POACEAE,Avena barbata,NA,Avena barbata,Avena,barbata
AVBA,4,206.75376807097595,0.30054860573254016,6.782333333333334,27.156829268292682,Avena barbata,Slim oat,Annual,Perennial,non-native,POACEAE,Avena barbata,NA,Avena barbata,Avena,barbata
AVBA,5,192.86002734478467,0.2964442059904447,6.042666666666666,27.91715361445783,Avena barbata,Slim oat,Annual,Perennial,non-native,POACEAE,Avena barbata,NA,Avena barbata,Avena,barbata
AVBA,6,179.73045278365046,0.320173198152175,4.406666666666666,40.64157754010695,Avena barbata,Slim oat,Annual,Perennial,non-native,POACEAE,Avena barbata,NA,Avena barbata,Avena,barbata
AVBA,7,188.5304616195358,0.3175052049601217,4.508,29.18279329608939,Avena barbata,Slim oat,Annual,Perennial,non-native,POACEAE,Avena barbata,NA,Avena barbata,Avena,barbata
AVBA,8,173.79187180062993,0.33200740188664296,5.025666666666666,29.274820766378248,Avena barbata,Slim oat,Annual,Perennial,non-native,POACEAE,Avena barbata,NA,Avena barbata,Avena,barbata
AVFA,1,204.55513421069432,0.2681814377487649,7.9479999999999995,34.46773246329527,Avena fatua,Wildoats,Annual,grass,non-native,POACEAE,Avena fatua,NA,Avena fatua,Avena,fatua
AVFA,2,223.4672281007964,0.222520559821296,7.808666666666666,41.76609722222222,Avena fatua,Wildoats,Annual,grass,non-native,POACEAE,Avena fatua,NA,Avena fatua,Avena,fatua
